,name,Type_x,Class,(A)chondrite,Group_x,Petrologic type,Type_y,Group_y,mass (g),Year,Month,Day,Hour,Locality,Country,continent,latitude,longitude
212,El Tigre,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,5000.0,1993,December,23,,Jalisco,Mexico,North America,19.9672,-103.0517
213,Fukutomi,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,11620.0,1882,March,19,1300,Kyushu,Japan,Asia,33.1833,130.2
214,Fuyang,Stone,,,,,Unclassified,Stone-uncl,2500.0,1977,June,,,Anhui,China,Asia,32.9,115.8
215,Farmington,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,89400.0,1890,June,25,1300,Kansas,USA,North America,39.75,-97.0333
216,Farmville,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,56000.0,1934,December,4,,North Carolina,USA,North America,35.55,-77.5333
217,Favars,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1500.0,1844,October,21,645,Aveyron,France,Europe,44.3833,2.8167
218,Fayetteville,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,2360.0,1934,December,26,1158,Arkansas,USA,North America,36.05,-94.1667
219,Feid Chair,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,380.0,1875,August,16,midday,Constantine,Algeria,Africa,36.8833,8.45
220,Felix,Stone,Carbonaceous,Chondrite,CO,3,Chondrite,CO3.3,3200.0,1900,May,15,1130,Alabama,USA,North America,32.5333,-87.1667
221,Fenghsien-Ku,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,82.0,1924,October,5,1822,Jiangsu,China,Asia,34.6,116.75
222,Ferguson,Stone,,Chondrite,,,Chondrite,OC,220.0,1889,July,18,,North Carolina,USA,North America,36.1,-81.4167
223,Fermo,Stone,Ordinary,Chondrite,H,3-5,Chondrite,H3-5,10200.0,1996,September,25,1530 UT,Marche,Italy,Europe,43.1811,13.7533
224,Fisher,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,17600.0,1894,April,9,1600,Minnesota,USA,North America,47.8167,-96.85
225,Florence,Stone,Ordinary,Chondrite,H,3,Chondrite,H3,3640.0,1922,January,21,2000,Texas,USA,North America,30.8333,-97.7667
226,Forest City,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,152000.0,1890,May,2,1715,Iowa,USA,North America,43.25,-93.6667
227,Forest Vale,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,26000.0,1942,August,7,1500,New South Wales,Australia,Oceania,-33.35,146.8583
228,Forksville,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,6067.0,1924,July,16,1745,Virginia,USA,North America,36.7833,-78.0833
229,Forsbach,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,240.0,1900,June,12,1400,Nordrhein-Westfalen,Germany,Europe,50.95,7.3167
230,Fort Flatters,Stone,,,,,Unclassified,Stone-uncl,,1944,June,23,,,Algeria,Africa,28.25,7.0
231,Frankfort (stone),Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,650.0,1868,December,5,1500,Alabama,USA,North America,34.4833,-87.8333
232,Fuc Bin,Stone,Ordinary,Chondrite,L,5,,,,1971,July,,,,Vietnam,,22.0,106.0
233,Granes,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,9000.0,1964,November,13,1700,Aude,France,Europe,42.9,2.25
234,Gambat,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,6400.0,1897,September,15,,Sind,Pakistan,Asia,27.35,68.5333
235,Grefsheim,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,45.5,1976,January,25-31,,,Norway,Europe,60.6667,11.0
236,Grosnaja,Stone,Carbonaceous,Chondrite,CV,3,Chondrite,CV3,3500.0,1861,June,28,1900,Checheno-Ingushskaya,Russia,Europe,43.6667,45.3833
237,Gross-Divina,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,10500.0,1837,July,24,1130,Carpathian Mountains,Slovakia,Europe,49.2667,18.7167
238,Grossliebenthal,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,8000.0,1881,November,19,630,Odessa Province,Ukraine,Europe,46.35,30.5833
239,Grüneberg,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,1000.0,1841,March,22,1530,,Poland,Europe,51.9333,15.5
240,Grzempach,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,690.0,1910,September,3,1500,,Poland,Europe,52.8667,16.6333
241,Gualeguaychu,Stone,Ordinary,Chondrite,H,6,,,,1932,October,,,Entre Rios,Argentina,,-33.0,-58.6167
242,Guangmingshan,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2910.0,1996,December,30,0800 (local time),Liaoning Province,China,Asia,39.8042,122.7639
243,Guangnan,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,,1983,February,7,,Yunan,China,Asia,24.1,105.0
244,Guangrao,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1900.0,1980,June,21,1615,Shandong,China,Asia,37.1,118.4
245,Guareña,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,39000.0,1892,July,20,1030,,Spain,Europe,38.7333,-6.0167
246,Gao-Guenie,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,3600.0,1960,March,5,1700,,Burkina Faso,Africa,11.65,-2.1833
247,Guêa,Stone,,,,,Unclassified,Stone-uncl,1915.0,1891,September,28,1700,Serbia,Yugoslavia,Europe,43.7667,20.2333
248,Guibga,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,288.0,1972,February,26,,,Burkina Faso,Africa,13.5,-0.6833
249,Guidder,Stone,Ordinary,Chondrite,LL,5,Chondrite,LL5,968.0,1949,January,7,1845,Nord province,Cameroun,Africa,9.9167,13.9833
250,Gujargaon,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2449.0,1982,September,4,1500,Madhya Pradesh,India,Asia,22.9833,76.05
251,Gujba,Stone,Ungrouped,Chondrite,UNGR,,Chondrite,CBa,100000.0,1984,April,3,1830 (local time),Yobe,Nigeria,Africa,11.4917,11.6583
252,Gumoschnik,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,5700.0,1904,April,28,1820,Gabrovo,Bulgaria,Europe,42.9,24.7
253,Gursum,Stone,Ordinary,Chondrite,H,4,Chondrite,H4/5,34650.0,1981,February,10,1330,,Ethiopia,Africa,9.3667,42.4167
254,Gütersloh,Stone,Ordinary,Chondrite,H,4,Chondrite,H3/4,1000.0,1851,April,17,2000,Nordrhein-Westfalen,Germany,Europe,51.9167,8.3833
255,Gyokukei,Stone,,Chondrite,,,Chondrite,OC,1320.0,1930,March,17,,,Korea,Asia,35.0,127.5
256,Garhi Yasin,Iron,Medium octahedrite,,IIE,Om,Achondrite,"Iron, IIE",380.0,1917,January,,during darkness,Sind,Pakistan,Asia,27.8833,68.5333
257,Geidam,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,725.0,1950,July,6,,,Nigeria,Africa,12.9167,11.9167
258,Gifu,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,14290.0,1909,July,24,544,Honshu,Japan,Asia,35.5333,136.8833
259,Girgenti,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,18000.0,1853,February,10,1830,Sicily,Italy,Europe,37.3167,13.5667
260,Git-Git,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,480.0,1947,January,9,700,,Nigeria,Africa,9.6,9.9167
261,Glanerbrug,Stone,Ordinary,Chondrite,LL,6,Chondrite,L/LL5,670.0,1990,April,7,1833,Overijssel,Netherlands,Europe,52.2181,6.9511
262,Glanggang,Stone,Ordinary,Chondrite,H,5-6,Chondrite,H5-6,1303.0,1939,September,26,,Java,Indonesia,Asia,-7.25,107.7
263,Glasatovo,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,152000.0,1918,February,27,1245,Tver Province,Russia,Europe,57.35,37.6167
264,Glatton,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,767.0,1991,May,5,12.3,Cambridgeshire,England,Europe,52.46,-0.3
265,Galim (a),Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,36.1,1952,November,13,1700,,Cameroun,Africa,7.05,12.4333
266,Galkiv,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,5000.0,1995,January,12,11:30 local time,Chernigov Region,Ukraine,Europe,51.6833,30.7833
267,Gnadenfrei,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1750.0,1879,May,17,1600,,Poland,Europe,50.6667,16.7667
268,Gopalpur,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,1600.0,1865,May,23,1800,Rajshahi,Bangladesh,Asia,24.2333,89.05
269,Gorlovka,Stone,Ordinary,Chondrite,H,3-4,Chondrite,H3.7,3618.0,1974,July,17,1730,Donetsk Province,Ukraine,Europe,48.2833,38.0833
270,Hökmark,Stone,Ordinary,Chondrite,L,4,Chondrite,L4,305.5,1954,June,9,2031,,Sweden,Europe,64.4333,21.2
271,Holbrook,Stone,Ordinary,Chondrite,L/LL,6,Chondrite,L/LL6,220000.0,1912,July,19,1915,Arizona,USA,North America,34.9,-110.1833
272,Holetta,Stone,,,,,Unclassified,Stone-uncl,1415.0,1923,April,14,1125,,Ethiopia,Africa,9.0667,38.4167
273,Homestead,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,230000.0,1875,February,12,2215,Iowa,USA,North America,41.8,-91.8667
274,Hotse,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,180.0,1956,June,26,,Shandong,China,Asia,35.6667,115.5
275,Hallingeberg,Stone,Ordinary,Chondrite,L,3,Chondrite,L3.4,1456.0,1944,February,1,1400,,Sweden,Europe,57.8167,16.2333
276,Hungen,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,112.0,1877,May,17,700,Hessen,Germany,Europe,50.3,8.9167
277,Hvittis,Stone,Enstatite,Chondrite,EL,6,Chondrite,EL6,14000.0,1901,October,21,1200,,Finland,Europe,61.1833,22.6833
278,Hamlet,Stone,Ordinary,Chondrite,LL,4,Chondrite,LL4,3710.0,1959,October,13,905,Indiana,USA,North America,41.3833,-86.6
279,Haraiya,Stone,Eucrite,Achondrite,EUC,,Achondrite,Eucrite-mmict,1000.0,1878,August,,,Uttar Pradesh,India,Asia,26.8,82.5333
280,Haripura,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,CM2,315.0,1921,January,17,2100,Rajasthan,India,Asia,28.3833,75.7833
281,Harleton,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,8360.0,1961,May,30,2230,Texas,USA,North America,32.675,-94.5117
282,Harrison County,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,680.0,1859,March,28,1600,Indiana,USA,North America,38.25,-86.1667
283,Haverö,Stone,Ureilite,Achondrite,URE,,Primitive Achondrite,Ureilite,1544.0,1971,August,2,1545,,Finland,Europe,60.2456,22.0619
284,Hedeskoga,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,3500.0,1922,April,20,1945,,Sweden,Europe,55.4667,13.7833
285,Hainaut,Stone,Ordinary,Chondrite,H,3-6,Chondrite,H3-6,9000.0,1934,November,26,2000-2100,,Belgium,Europe,50.3167,3.7333
286,Heredia,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1000.0,1857,April,1,at night,,Costa Rica,North America,10.0,-84.1
287,Hessle,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,20000.0,1869,January,1,1230,,Sweden,Europe,59.85,17.6667
288,Higashi-koen,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,750.0,1897,August,11,,Kyushu,Japan,Asia,33.6,136.4333
289,Idutywa,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,3457.0,1956,February,1,1815,Cape Province,South Africa,Africa,-32.1,28.3333
290,Iguaracu,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1200.0,1977,October,,,Parana,Brazil,South America,-23.2,-51.8333
291,Ijopega,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,7330.0,1975,March,3,2145,Goroka,Papua-New Guinea,Oceania,-6.0333,145.3667
292,Indarch,Stone,Enstatite,Chondrite,EH,4,Chondrite,EH4,27000.0,1891,April,7,2010,Nagorno-Karabakh,Azerbaijan,Asia,39.75,46.6667
293,Ibbenbüren,Stone,Diogenite,Achondrite,DIO,,Achondrite,Diogenite,2000.0,1870,June,17,1400,Nordrhein-Westfalen,Germany,Europe,52.2833,7.7
294,Innisfree,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,4576.0,1977,February,5,1917,Alberta,Canada,North America,53.415,-111.3375
295,Ibitira,Stone,Eucrite,Achondrite,EUC,,Achondrite,Eucrite-mmict,2500.0,1957,June,30,1715,Minas Gerais,Brazil,South America,-20.0,-45.0
296,Ipiranga,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,7000.0,1972,December,27,1030,Parana,Brazil,South America,-25.5,-54.5
297,Ishinga,Stone,Ordinary,Chondrite,H,,Chondrite,H,1300.0,1954,October,8,1500,,Tanzania,Africa,-8.9333,33.8
298,Ichkala,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,3973.0,1936,May,29,2334,Tomsk Province,Russia,Europe,58.2,82.9333
299,Isthilart,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,3050.0,1928,November,12,730,Entre Rios,Argentina,South America,-31.1833,-57.95
300,Itapicuru-Mirim,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2024.0,1879,March,,,Maranhão,Brazil,South America,-3.4,-44.3333
301,Ivuna,Stone,Carbonaceous,Chondrite,CI,1,Chondrite,CI1,704.5,1938,December,16,1730,,Tanzania,Africa,-8.4167,32.4333
302,Jamkheir,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,22.0,1866,October,5,1200,Maharashtra,India,Asia,18.75,75.3333
303,Jartai,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,20500.0,1979,March,15,,Ningxia,China,Asia,39.7,105.8
304,Jackalsfontein,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,48000.0,1903,April,22,1130,Cape Province,South Africa,Africa,-32.5,21.9
305,Jelica,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,34000.0,1889,December,1,1430,Serbia,Yugoslavia,Europe,43.8333,20.4417
306,Jemlapur,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,450.0,1901,February,,,,India,Asia,,
307,Jhung,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,5900.0,1873,June,,1500,Punjab,Pakistan,Asia,31.3,72.3833
308,Jiange,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,222.0,1964,October,9,1900?,Sichuan,China,Asia,31.9167,104.9167
309,Jilin,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,4000000.0,1976,March,8,1500,Jilin,China,Asia,44.0,126.5
310,Jajh deh Kot Lalu,Stone,Enstatite,Chondrite,EL,6,Chondrite,EL6,973.0,1926,May,2,1700-1800,Sind,Pakistan,Asia,26.75,68.4167
311,Jodzie,Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,30.0,1877,June,17,430,Kovno,Lithuania,Europe,55.7,24.4
312,Johnstown,Stone,Diogenite,Achondrite,DIO,,Achondrite,Diogenite,40300.0,1924,July,6,1620,Colorado,USA,North America,40.35,-104.9
313,Jolomba,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,483.0,1974,February,3,,Huambo district,Angola,Africa,-11.85,15.8333
314,Jalanash,Stone,Ureilite,Achondrite,URE,,Primitive Achondrite,Ureilite,700.0,1990,August,15,,Bayan-Ölgiy,Mongolia,Asia,,
315,Juancheng,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,100000.0,1997,February,15,23:23:35 (Beijing ti,Shandong,China,Asia,35.5,115.4167
316,Judesegeri,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,680.0,1876,February,16,,Karnataka,India,Asia,12.85,76.8
317,Jumapalo,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,32490.0,1984,March,13,1000,Java,Indonesia,Asia,-7.7167,111.2
318,Junan,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,950.0,1976,May,15,1100,Shandong,China,Asia,35.2,118.8
319,Juromenha,Iron,,,IIIAB,,Achondrite,"Iron, IIIAB",25250.0,1968,November,14,1755,,Portugal,Europe,38.7403,-7.27
320,Kendleton,Stone,Ordinary,Chondrite,L,4,Chondrite,L4,6937.0,1939,May,2,1925,Texas,USA,North America,29.45,-96.0
321,Kerilis,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,5000.0,1874,November,26,1030,Cotes-du-Nord,France,Europe,48.4,-3.3
322,Kaee,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,230.0,1838,January,29,,Uttar Pradesh,India,Asia,27.25,79.9667
323,Kernouve,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,80000.0,1869,May,22,2200,Morbihan,France,Europe,48.1167,-3.0833
324,Kesen,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,135000.0,1850,June,13,500,Honshu,Japan,Asia,38.9833,141.6167
325,Kagarlyk,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1900.0,1908,June,30,700,Kiev Province,Ukraine,Europe,49.8667,30.8333
326,Khairpur,Stone,Enstatite,Chondrite,EL,6,Chondrite,EL6,13600.0,1873,September,23,500,Sind,Pakistan,Asia,29.5333,72.3
327,Khanpur,Stone,Ordinary,Chondrite,LL,5,Chondrite,LL5,3698.0,1932,July,8,1200-1300,Uttar Pradesh,India,Asia,25.55,83.1167
328,Khenteisky,Stone,,,,,,,,1952,July,10,2330,Choybalsan aymag,Mongolia,,49.2,113.4667
329,Kheragur,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,450.0,1860,March,28,,Uttar Pradesh,India,Asia,26.95,77.8833
330,Khetri,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,100.0,1867,January,19,900,Rajasthan,India,Asia,28.0167,75.8167
331,Khmelevka,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,6109.0,1929,March,1,524,Omsk Province,Russia,Europe,56.75,75.3333
332,Khohar,Stone,Ordinary,Chondrite,L,3,Chondrite,L3.6,9700.0,1910,September,19,1300,Uttar Pradesh,India,Asia,25.1,81.5333
333,Khor Temiki,Stone,Aubrite,Achondrite,AUB,,Achondrite,Aubrite,3200.0,1932,April,8,,,Sudan,Africa,16.0,36.0
334,Kiel,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,737.6,1962,April,26,1245,Schleswig-Holstein,Germany,Europe,54.4,10.15
335,Kidairat,Stone,Ordinary,Chondrite,H,4,Chondrite,H6,100000.0,1983,January,,,Northern Kardofan pr,Sudan,Africa,14.0,28.0
336,Kaidun,Stone,Carbonaceous,Chondrite,CR,,Chondrite,CR2,2000.0,1980,December,30,445,,South Yemen,Asia,15.0,48.3
337,Kiffa,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1500.0,1970,October,23,1455,,Mauritania,Africa,16.5833,-11.3333
338,Kijima (1906),Stone,Enstatite,Chondrite,EL,,Chondrite,EL,331.0,1906,June,15,,Honshu,Japan,Asia,36.85,138.3833
339,Kilbourn,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,772.0,1911,June,16,1700,Wisconsin,USA,North America,43.5833,-89.6
340,Killeter,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,140.0,1844,April,29,1530,County Tyrone,Ireland,Europe,54.6667,-7.6667
341,Kingai,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,67.4,1967,November,7,1400,,Sudan,Africa,11.6333,24.6833
342,Kirbyville,Stone,Eucrite,Achondrite,EUC,,Achondrite,Eucrite-mmict,97.7,1906,November,12,1530,Texas,USA,North America,30.75,-95.95
343,Kirkland,Iron,Octahedrite,,,O,,,,1955,January,17,1100,Washington,USA,,42.6931,-122.1703
344,Kainsaz,Stone,Carbonaceous,Chondrite,CO,3,Chondrite,CO3.2,200000.0,1937,September,13,1415,Tatarstan Republic,Russia,Europe,55.4333,53.25
345,Kisvarsány,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1550.0,1914,May,24,,,Hungary,Europe,48.1667,22.3083
346,Kitchener,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,202.6,1998,July,12,0830 (local time),Ontario,Canada,North America,43.3833,-80.3833
347,Kakangari,Stone,Kakangari-type,Chondrite,K,3,Chondrite,K3,350.0,1890,June,4,800,Tamil Nadu,India,Asia,12.3833,78.5167
348,Klein-Wenden,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,3250.0,1843,September,16,1645,Thuringen,Germany,Europe,51.6,10.8
349,Knyahinya,Stone,Ordinary,Chondrite,L/LL,5,Chondrite,L/LL5,500000.0,1866,June,9,,Ungvár,Ukraine,Europe,48.9,22.4
350,Kobe,Stone,Carbonaceous,Chondrite,CK,4,Chondrite,CK4,136.0,1999,September,26,2021 (local time),Kobe,Japan,Asia,34.7333,135.1667
351,Kakowa,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,577.0,1858,May,19,800,,Romania,Europe,45.1333,21.6667
352,Kokubunji,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,11510.0,1986,July,29,1900,Shikoku,Japan,Asia,34.3,133.95
353,Komagome,Iron,Octahedrite,,,O,Unclassified,Iron,238.0,1926,April,18,,Honshu,Japan,Asia,,
354,Konovo,Stone,,Chondrite,,,Chondrite,LL5,90.0,1931,May,26,0000-0100,Sliven,Bulgaria,Europe,42.5167,26.1667
355,Kalaba,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,950.0,1951,October,31,1730,Katanga,Congo,Africa,-6.8333,29.5
356,Krähenberg,Stone,Ordinary,Chondrite,LL,5,Chondrite,LL5,16500.0,1869,May,5,1830,Rheinland-Pfalz,Germany,Europe,49.3269,7.4647
357,Krasnyi Klyuch,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,4000.0,1946,May,4,,Bashkir Republic,Russia,Europe,54.3333,56.0833
358,Krymka,Stone,Ordinary,Chondrite,LL,3,Chondrite,LL3.2,50000.0,1946,January,21,,Mykolaïv Province,Ukraine,Europe,47.8333,30.7667
359,Kukschin,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2250.0,1938,June,11,1400,Chernivhivska Provin,Ukraine,Europe,51.15,31.7
360,Kulak,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,453.6,1961,March,25,1730,Baluchistan,Pakistan,Asia,30.7311,66.8022
361,Kulp,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,3719.0,1906,March,29,,,Armenia,Asia,41.1167,45.0
362,Kunashak,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,200000.0,1949,June,11,814,Chelyabinsk Province,Russia,Europe,55.7833,61.3667
363,Kunya-Urgench,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1100000.0,1998,June,20,1725,Dashkhowus Velayat,Turkmenistan,Asia,42.25,59.2
364,Kushiike,Stone,Ordinary,Chondrite,H,5,Chondrite,OC,4460.0,1920,September,16,1800,Honshu,Japan,Asia,37.05,138.3833
365,Kusiali,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,5.0,1860,June,16,500,Uttar Pradesh,India,Asia,29.6833,78.3833
366,Kutais,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,23.0,1977,November,28,800,Krasnodarsky Territo,Russia,Europe,44.5167,39.3
367,Kuttippuram,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,45000.0,1914,April,6,700,Kerala,India,Asia,10.8333,76.0333
368,Kuznetzovo,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,4047.0,1932,May,26,between 1700 and 180,Novosibirsk Province,Russia,Europe,55.2,75.3333
369,Kyushu,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,45000.0,1886,October,26,1500,Kyushu,Japan,Asia,32.0333,130.6333
370,Kalumbi,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,4500.0,1879,November,4,,Maharashtra,India,Asia,17.8333,73.9833
371,Kamalpur,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2770.0,1942,August,18,,Uttar Pradesh,India,Asia,26.0333,81.4667
372,Kamiomi,Stone,Ordinary,Chondrite,H,4,Chondrite,H5,448.0,1913,March,,1500,Honshu,Japan,Asia,36.0417,139.9567
373,Kamsagar,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1293.0,1902,November,12,1300,Karnataka,India,Asia,14.1833,75.8
374,Kandahar (Afghanistan),Stone,Ordinary,Chondrite,L,6,Chondrite,L6,299.0,1959,November,,,,Afghanistan,Asia,31.6,65.7833
375,Kangean,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,1630.0,1908,November,27,1100,Kangean Island,Indonesia,Asia,-7.0,115.5
376,Kaba,Stone,Carbonaceous,Chondrite,CV,3,Chondrite,CV3,3000.0,1857,April,15,2200,,Hungary,Europe,47.35,21.3
377,Kapoeta,Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,11355.0,1942,April,22,1900,,Sudan,Africa,4.7,33.6333
378,Kaptal-Aryk,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,3500.0,1937,May,12,2045,Kirgiziya,Kazakstan,Asia,42.45,73.3667
379,Karakol,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,3000.0,1840,May,9,1200,Semipalatinsk,Kazakstan,Asia,47.2167,81.0167
380,Karatu,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,2220.0,1963,September,11,,,Tanzania,Africa,-3.5,35.5833
381,Karewar,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,180.0,1949,September,19,1900,Katsina province,Nigeria,Africa,12.9,7.15
382,Karkh,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,22000.0,1905,April,27,1300,Baluchistan,Pakistan,Asia,27.8,67.1667
383,Karloowala,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2950.0,1955,July,21,1200,,Pakistan,Asia,31.5833,71.6
384,Karoonda,Stone,Carbonaceous,Chondrite,CK,4,Chondrite,CK4,41730.0,1930,November,25,2253,South Australia,Australia,Oceania,-35.0833,139.9167
385,Kabo,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,13400.0,1971,April,25,1630,,Nigeria,Africa,11.85,8.2167
386,Kasamatsu,Stone,Ordinary,Chondrite,H,,Chondrite,H,710.0,1938,March,31,,Honshu,Japan,Asia,35.3667,136.7667
387,Kayakent,Iron,Medium octahedrite,,IIIAB,Om,Achondrite,"Iron, IIIAB",85000.0,1961,April,,,,Turkey,Asia,39.2633,31.78
388,Leighton,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,877.0,1907,January,12,2000,Alabama,USA,North America,34.5833,-87.5
389,Leonovka,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,700.0,1900,August,23,2100,Chernivhivska Provin,Ukraine,Europe,52.2667,32.85
390,Le Pressoir,Stone,Ordinary,Chondrite,L,6,Chondrite,H5,3000.0,1845,January,25,1500,Indre-et-Loir,France,Europe,47.1667,0.4333
391,Les Ormes,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,125.0,1857,October,1,1700,Yonne,France,Europe,48.35,3.25
392,Lesves,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2000.0,1896,April,13,730,,Belgium,Europe,50.3667,4.7333
393,Le Teilleul,Stone,Howardite,Achondrite,HOW,,Achondrite,Howardite,780.0,1845,July,14,1500,Manche,France,Europe,48.5333,-0.8667
394,Lichtenberg,Stone,,Chondrite,,,Chondrite,H6,4000.0,1973,September,26,,Transvaal,South Africa,Africa,-26.15,26.1833
395,Lillaverke,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,6862.0,1930,May,11,1600,Smaland,Sweden,Europe,56.65,15.8667
396,Linum,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1862.0,1854,September,5,800,Brandenburg,Germany,Europe,52.75,12.9
