,name,Type_x,Class,(A)chondrite,Group_x,Petrologic type,Type_y,Group_y,mass (g),Year,Month,Day,Hour,Locality,Country,continent,latitude,longitude
92,Buschhof,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,5000.0,1863,June,2,730,,Latvia,Europe,46.45,25.7833
93,Bustee,Stone,Aubrite,Achondrite,AUB,,Achondrite,Aubrite,1500.0,1852,December,2,1000,Uttar Pradesh,India,Asia,26.7833,82.8333
94,Butsura,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,29000.0,1861,May,12,1200,Bihar,India,Asia,27.0833,84.0833
95,Ban Rong Du,Iron,Coarse octahedrite,,UNGR,Og,Unclassified,Iron,16700.0,1993,June,13,2030 local time (123,,Thailand,Asia,16.6667,101.1833
96,Banswal,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,14.0,1913,January,12,1800,Uttar Pradesh,India,Asia,30.4,78.2
97,Banten,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,CM2,629.0,1933,May,24,0400-0500,Java,Indonesia,Asia,-6.3333,106.0
98,Barea,Stony-iron,Mesosiderite,,MES,,Achondrite,Mesosiderite-A1,3200.0,1842,July,4,,,Spain,Europe,42.3833,-2.5
99,Barnaul,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,23.2,1904,May,22,2330,Altai Republic,Russia,Europe,52.7333,84.0833
100,Barntrup,Stone,Ordinary,Chondrite,LL,4,Chondrite,LL4,17.0,1886,May,28,1430,Nordrhein-Westfalen,Germany,Europe,52.0,9.1
101,Baroti,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,4500.0,1910,September,15,1000,Himachal Pradesh,India,Asia,31.6167,76.8
102,Barwell,Stone,Ordinary,Chondrite,L,6,Chondrite,L5,44000.0,1965,December,24,1620,Leicestershire,England,Europe,52.5667,-1.3333
103,Baszkówka,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,15500.0,1994,August,25,15:50 (local time),,Poland,Europe,52.0333,20.9358
104,Bath,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,21000.0,1892,August,29,1600,South Dakota,USA,North America,45.4167,-98.3167
105,Bath Furnace,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,86000.0,1902,November,15,1845,Kentucky,USA,North America,38.25,-83.75
106,Bawku,Stone,Ordinary,Chondrite,LL,5,Chondrite,LL5,1557.0,1989,December,29,16:30 (local time),,Ghana,Africa,11.0833,-0.1833
107,Baxter,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,611.0,1916,January,18,900,Missouri,USA,North America,36.75,-93.5
108,Beardsley,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,16000.0,1929,October,15,2330,Kansas,USA,North America,39.8,-101.2
109,Beaver Creek,Stone,Ordinary,Chondrite,H,4,Chondrite,H5,14000.0,1893,May,26,1530,British Columbia,Canada,North America,51.1667,-117.3333
110,Beddgelert,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,794.0,1949,September,21,147,Gwynedd,Wales,Europe,53.0167,-4.1
111,Cacak,Stone,,Chondrite,,,Chondrite,OC,212.0,1919,June,6,2030,Serbia,Yugoslavia,Europe,43.8389,20.3333
