,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
9275,Fayetteville,35750,F250,Stone,Ordinary,Chondrite,H,4,2.358 kg,1934,December,26,1158,Arkansas,USA,36.05,-94.1667,36° 3' N,94° 10' W,,
9276,Feid Chair,35751,F270,Stone,Ordinary,Chondrite,H,4,380 g,1875,August,16,midday,Constantine,Algeria,36.8833,8.45,36° 53' N,8° 27' E,,
9277,Felix,35752,F290,Stone,Carbonaceous,Chondrite,CO,3,3.2 kg,1900,May,15,1130,Alabama,USA,32.5333,-87.1667,32° 32' N,87° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF290%7CscientificName%3AFelix
9282,Fenghsien-Ku,35757,F320,Stone,Ordinary,Chondrite,H,5,82 g,1924,October,5,1822,Jiangsu,China,34.6,116.75,34° 36' N,116° 45' E,,
9284,Ferguson,35759,F330,Stone,,Chondrite,,,0.2 kg,1889,July,18,,North Carolina,USA,36.1,-81.4167,36° 6' N,81° 25' W,,
9286,Fermo,35761,F345,Stone,Ordinary,Chondrite,H,3-5,10.2 kg,1996,September,25,1530 UT,Marche,Italy,43.1811,13.7533,43° 10' 52'' N,13° 45' 12'' E,,
9295,Fisher,35770,F470,Stone,Ordinary,Chondrite,L,6,15 kg,1894,April,9,1600,Minnesota,USA,47.8167,-96.85,47° 49' N,96° 51' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF470%7CscientificName%3AFisher
9299,Florence,35774,F520,Stone,Ordinary,Chondrite,H,3,3640 g,1922,January,21,2000,Texas,USA,30.8333,-97.7667,30° 50' N,97° 46' W,,
9310,Forest City,35785,F640,Stone,Ordinary,Chondrite,H,5,122 kg,1890,May,2,1715,Iowa,USA,43.25,-93.6667,43° 15' N,93° 40' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF640%7CscientificName%3AForest%20City
9311,Forest Vale,35786,F650,Stone,Ordinary,Chondrite,H,4,26 kg,1942,August,7,1500,New South Wales,Australia,-33.35,146.8583,33° 21' S,146° 51' 30'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF650%7CscientificName%3AForest%20Vale
9312,Forksville,35787,F660,Stone,Ordinary,Chondrite,L,6,6067 g,1924,July,16,1745,Virginia,USA,36.7833,-78.0833,36° 47' N,78° 5' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF660%7CscientificName%3AForksville
9352,Forsbach,35827,F720,Stone,Ordinary,Chondrite,H,6,240 g,1900,June,12,1400,Nordrhein-Westfalen,Germany,50.95,7.3167,50° 57' N,7° 19' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF720%7CscientificName%3AForsbach
9356,Fort Flatters,35831,F780,Stone,,,,,,1944,June,23,,,Algeria,28.25,7.0,28° 15' N,7° E,,
9365,Frankfort (stone),35840,F890,Stone,Howardite,Achondrite,HOW,,650 g,1868,December,5,1500,Alabama,USA,34.4833,-87.8333,34° 29' N,87° 50' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AF890%7CscientificName%3AFrankfort%20%28stone%29
9696,Fuc Bin,36171,F994.8,Stone,Ordinary,Chondrite,L,5,14 g,1971,July,,,,Vietnam,22.0,106.0,22° N,106° E,,
9873,Granes,36348,G1050,Stone,Ordinary,Chondrite,L,6,9 kg,1964,November,13,1700,Aude,France,42.9,2.25,42° 54' N,2° 15' E,,
9876,Gambat,36351,G110,Stone,Ordinary,Chondrite,L,6,6.3 kg,1897,September,15,,Sind,Pakistan,27.35,68.5333,27° 21' N,68° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG110%7CscientificName%3AGambat
9895,Grefsheim,36370,G1192,Stone,Ordinary,Chondrite,L,5,45.5 g,1976,January,25-31,,,Norway,60.6667,11.0,60° 40' N,11° 0' E,,
10153,Grosnaja,36628,G1330,Stone,Carbonaceous,Chondrite,CV,3,3251 g,1861,June,28,1900,Checheno-Ingushskaya,Russia,43.6667,45.3833,43° 40' N,45° 23' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1330%7CscientificName%3AGrosnaja
10154,Gross-Divina,36629,G1340,Stone,Ordinary,Chondrite,H,5,10.5 kg,1837,July,24,1130,Carpathian Mountains,Slovakia,49.2667,18.7167,49° 16' N,18° 43' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1340%7CscientificName%3AGross-Divina
10156,Grossliebenthal,36631,G1350,Stone,Ordinary,Chondrite,L,6,8 kg,1881,November,19,630,Odessa Province,Ukraine,46.35,30.5833,46° 21' N,30° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1350%7CscientificName%3AGrossliebenthal
10344,Grüneberg,36819,G1410,Stone,Ordinary,Chondrite,H,4,1 kg,1841,March,22,1530,,Poland,51.9333,15.5,51° 56' N,15° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1410%7CscientificName%3AGr%C3%BCneberg
10346,Grzempach,36821,G1430,Stone,Ordinary,Chondrite,H,5,690 g,1910,September,3,1500,,Poland,52.8667,16.6333,52° 52' N,16° 38' E,,
10349,Gualeguaychu,36824,G1470,Stone,Ordinary,Chondrite,H,6,22 kg,1932,October,,,Entre Rios,Argentina,-33.0,-58.6167,33° S,58° 37' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1470%7CscientificName%3AGualeguaychu
10351,Guangmingshan,36826,G1475.2,Stone,Ordinary,Chondrite,H,5,2.91 kg,1996,December,30,0800 (local time),Liaoning Province,China,39.8042,122.7639,39° 48' 15'' N,122° 45' 50'' E,,
10352,Guangnan,36827,G1475.3,Stone,Ordinary,Chondrite,L,6,,1983,February,7,,Yunan,China,24.1,105.0,24° 6' N,105° 0' E,,
10353,Guangrao,36828,G1475.5,Stone,Ordinary,Chondrite,L,6,1.9 kg,1980,June,21,1615,Shandong,China,37.1,118.4,37° 6' N,118° 24' E,,
10355,Guareña,36830,G1480,Stone,Ordinary,Chondrite,H,6,39 kg,1892,July,20,1030,,Spain,38.7333,-6.0167,38° 44' N,6° 1' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1480%7CscientificName%3AGuare%C3%B1a
10357,Gao-Guenie,36832,G150,Stone,Ordinary,Chondrite,H,5,,1960,March,5,1700,,Burkina Faso,11.65,-2.1833,11° 39' N,2° 11' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG150%7CscientificName%3AGao-Guenie
10358,Guêa,36833,G1510,Stone,,,,,1915 g,1891,September,28,1700,Serbia,Yugoslavia,43.7667,20.2333,43° 46' N,20° 14' E,,
10361,Guibga,36836,G1550,Stone,Ordinary,Chondrite,L,5,,1972,February,26,,,Burkina Faso,13.5,-0.6833,13° 30' N,0° 41' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1550%7CscientificName%3AGuibga
10362,Guidder,36837,G1560,Stone,Ordinary,Chondrite,LL,5,968 g,1949,January,7,1845,Nord province,Cameroun,9.9167,13.9833,9° 55' N,13° 59' E,,
10367,Gujargaon,36842,G1579,Stone,Ordinary,Chondrite,H,5,2449 g,1982,September,4,1500,Madhya Pradesh,India,22.9833,76.05,22° 59' N,76° 3' E,,
10368,Gujba,36843,G1579.5,Stone,Ungrouped,Chondrite,UNGR,,100 kg,1984,April,3,1830 (local time),Yobe,Nigeria,11.4917,11.6583,11° 29' 30'' N,11° 39' 30'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1579.5%7CscientificName%3AGujba
10369,Gumoschnik,36844,G1590,Stone,Ordinary,Chondrite,H,5,5.7 kg,1904,April,28,1820,Gabrovo,Bulgaria,42.9,24.7,42° 54' N,24° 42' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1590%7CscientificName%3AGumoschnik
10384,Gursum,36859,G1655,Stone,Ordinary,Chondrite,H,4,34.65 kg,1981,February,10,1330,,Ethiopia,9.3667,42.4167,9° 22' N,42° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1655%7CscientificName%3AGursum
10385,Gütersloh,36860,G1670,Stone,Ordinary,Chondrite,H,4,1 kg,1851,April,17,2000,Nordrhein-Westfalen,Germany,51.9167,8.3833,51° 55' N,8° 23' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG1670%7CscientificName%3AG%C3%BCtersloh
10387,Gyokukei,36862,G1700,Stone,,Chondrite,,,1.32 kg,1930,March,17,,,Korea,35.0,127.5,35° N,127° 30' E,,
10388,Garhi Yasin,36863,G190,Iron,Medium octahedrite,,IIE,Om,380 g,1917,January,,during darkness,Sind,Pakistan,27.8833,68.5333,27° 53' N,68° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG190%7CscientificName%3AGarhi%20Yasin
10392,Garland,36867,G200,Stone,Diogenite,Achondrite,DIO,,102 g,1950,,,1100,Utah,USA,41.6833,-112.1333,41° 41' N,112° 8' W,,
10400,Geidam,36875,G290,Stone,Ordinary,Chondrite,H,5,725 g,1950,July,6,,,Nigeria,12.9167,11.9167,12° 55' N,11° 55' E,,
10446,Gifu,36921,G470,Stone,Ordinary,Chondrite,L,6,,1909,July,24,544,Honshu,Japan,35.5333,136.8833,35° 32' N,136° 53' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG470%7CscientificName%3AGifu
10450,Girgenti,36925,G510,Stone,Ordinary,Chondrite,L,6,,1853,February,10,1830,Sicily,Italy,37.3167,13.5667,37° 19' N,13° 34' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG510%7CscientificName%3AGirgenti
10452,Git-Git,36927,G560,Stone,Ordinary,Chondrite,L,6,480 g,1947,January,9,700,,Nigeria,9.6,9.9167,9° 36' N,9° 55' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG560%7CscientificName%3AGit-Git
10456,Glanerbrug,36931,G602,Stone,Ordinary,Chondrite,LL,6,500 g,1990,April,7,1833,Overijssel,Netherlands,52.2181,6.9511,52° 13' 05'' N,6° 57' 4'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG602%7CscientificName%3AGlanerbrug
10457,Glanggang,36932,G605,Stone,Ordinary,Chondrite,H,5-6,1303 g,1939,September,26,,Java,Indonesia,-7.25,107.7,7° 15' S,107° 42' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG605%7CscientificName%3AGlanggang
10460,Glasatovo,36935,G620,Stone,Ordinary,Chondrite,H,4,150 kg,1918,February,27,1245,Tver Province,Russia,57.35,37.6167,57° 21' N,37° 37' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG620%7CscientificName%3AGlasatovo
10464,Glatton,36939,G665,Stone,Ordinary,Chondrite,L,6,767 g,1991,May,5,12.3,Cambridgeshire,England,52.46,-0.3,52° 27' 36'' N,0° 18' 0'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG665%7CscientificName%3AGlatton
10468,Galim (a),36943,G70,Stone,Ordinary,Chondrite,LL,6,28 g,1952,November,13,1700,,Cameroun,7.05,12.4333,7° 3' N,12° 26' E,,
10470,Galim (b),36945,G71,Stone,Enstatite,Chondrite,EH,,,1952,,,,,Cameroun,7.05,12.4333,7° 3' N,12° 26' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG71%7CscientificName%3AGalim%20%28b%29
10472,Galkiv,36947,G75,Stone,Ordinary,Chondrite,H,4,5 kg,1995,January,12,11:30 local time,Chernigov Region,Ukraine,51.6833,30.7833,51° 41' N,30° 47' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG75%7CscientificName%3AGalkiv
10473,Gnadenfrei,36948,G750,Stone,Ordinary,Chondrite,H,5,1.75 kg,1879,May,17,1600,,Poland,50.6667,16.7667,50° 40' N,16° 46' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG750%7CscientificName%3AGnadenfrei
10485,Gopalpur,36960,G840,Stone,Ordinary,Chondrite,H,6,1.6 kg,1865,May,23,1800,Rajshahi,Bangladesh,24.2333,89.05,24° 14' N,89° 3' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AG840%7CscientificName%3AGopalpur
10486,Gorlovka,36961,G860,Stone,Ordinary,Chondrite,H,3-4,3618 g,1974,July,17,1730,Donetsk Province,Ukraine,48.2833,38.0833,48° 17' N,38° 5' E,,
10501,Hökmark,36976,H1250,Stone,Ordinary,Chondrite,L,4,305.5 g,1954,June,9,2031,,Sweden,64.4333,21.2,64° 26' N,21° 12' E,,
10502,Holbrook,36977,H1260,Stone,Ordinary,Chondrite,L/LL,6,218 kg,1912,July,19,1915,Arizona,USA,34.9,-110.1833,34° 54' N,110° 11' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH1260%7CscientificName%3AHolbrook
10503,Holetta,36978,H1270,Stone,,,,,1415 g,1923,April,14,1125,,Ethiopia,9.0667,38.4167,9° 4' N,38° 25' E,,
10510,Homestead,36985,H1330,Stone,Ordinary,Chondrite,L,5,226.8 kg,1875,February,12,2215,Iowa,USA,41.8,-91.8667,41° 48' N,91° 52' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH1330%7CscientificName%3AHomestead
10520,Hotse,36995,H1450,Stone,Ordinary,Chondrite,L,6,,1956,June,26,,Shandong,China,35.6667,115.5,35° 40' N,115° 30' E,,
10527,Hoxie,37002,H1490,Stone,,Chondrite,,,266.1 g,1963,,,,Kansas,USA,39.35,-100.45,39° 21' N,100° 27' W,,
10528,Hallingeberg,37003,H150,Stone,Ordinary,Chondrite,L,3,1456 g,1944,February,1,1400,,Sweden,57.8167,16.2333,57° 49' N,16° 14' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH150%7CscientificName%3AHallingeberg
10600,Hungen,37075,H1740,Stone,Ordinary,Chondrite,H,6,112 g,1877,May,17,700,Hessen,Germany,50.3,8.9167,50° 18' N,8° 55' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH1740%7CscientificName%3AHungen
10603,Hvittis,37078,H1760,Stone,Enstatite,Chondrite,EL,6,14 kg,1901,October,21,1200,,Finland,61.1833,22.6833,61° 11' N,22° 41' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH1760%7CscientificName%3AHvittis
10609,Hamlet,37084,H230,Stone,Ordinary,Chondrite,LL,4,3.705 kg,1959,October,13,905,Indiana,USA,41.3833,-86.6,41° 23' N,86° 36' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH230%7CscientificName%3AHamlet
10930,Haraiya,37405,H300,Stone,Eucrite,Achondrite,EUC,,1 kg,1878,August,,,Uttar Pradesh,India,26.8,82.5333,26° 48' N,82° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH300%7CscientificName%3AHaraiya
10935,Haripura,37410,H340,Stone,Carbonaceous,Chondrite,CM,2,,1921,January,17,2100,Rajasthan,India,28.3833,75.7833,28° 23' N,75° 47' E,,
10936,Harleton,37411,H360,Stone,Ordinary,Chondrite,L,6,8.36 kg,1961,May,30,2230,Texas,USA,32.675,-94.5117,32° 40' 30'' N,94° 30' 42'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH360%7CscientificName%3AHarleton
10940,Harrison County,37415,H400,Stone,Ordinary,Chondrite,L,6,0.68 kg,1859,March,28,1600,Indiana,USA,38.25,-86.1667,38° 15' N,86° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH400%7CscientificName%3AHarrison%20County
10946,Hashima,37421,H475,Stone,Ordinary,Chondrite,H,4,1110.6 g,1910,,,,,Japan,35.2944,136.7003,35° 17' 40'' N,136° 42' 1'' E,,
10950,Hassi-Jekna,37425,H510,Iron,Fine octahedrite,,IIICD,Of,1.25 kg,1890,,,,El Golea,Algeria,28.95,0.8167,28° 57' N,0° 49' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH510%7CscientificName%3AHassi-Jekna
10960,Haverö,37435,H640,Stone,Ureilite,Achondrite,URE,,1544 g,1971,August,2,1545,,Finland,60.2456,22.0619,60° 14' 44'' N,22° 3' 43'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH640%7CscientificName%3AHaver%C3%B6
10970,Hedeskoga,37445,H770,Stone,Ordinary,Chondrite,H,5,3.5 kg,1922,April,20,1945,,Sweden,55.4667,13.7833,55° 28' N,13° 47' E,,
10971,Hedjaz,37446,H780,Stone,Ordinary,Chondrite,L,3-6,7 kg,1910,,,at night,,Saudi Arabia,27.0,36.0,27° N,36° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH780%7CscientificName%3AHedjaz
10972,Hainaut,37447,H80,Stone,Ordinary,Chondrite,H,3-6,9 kg,1934,November,26,2000-2100,,Belgium,50.3167,3.7333,50° 19' N,3° 44' E,,
10977,Heredia,37452,H890,Stone,Ordinary,Chondrite,H,5,> 1 kg,1857,April,1,at night,,Costa Rica,10.0,-84.1,10° 0' N,84° 6' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH890%7CscientificName%3AHeredia
10981,Hessle,37456,H950,Stone,Ordinary,Chondrite,H,5,,1869,January,1,1230,,Sweden,59.85,17.6667,59° 51' N,17° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH950%7CscientificName%3AHessle
10989,Higashi-koen,37464,H990,Stone,Ordinary,Chondrite,H,5,750 g,1897,August,11,,Kyushu,Japan,33.6,136.4333,33° 36' N,136° 26' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AH990%7CscientificName%3AHigashi-koen
10990,Idutywa,37465,I100,Stone,Ordinary,Chondrite,H,5,3457 g,1956,February,1,1815,Cape Province,South Africa,-32.1,28.3333,32° 6' S,28° 20' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI100%7CscientificName%3AIdutywa
10993,Iguaracu,37468,I145,Stone,Ordinary,Chondrite,H,5,1200 g,1977,October,,,Parana,Brazil,-23.2,-51.8333,23° 12' S,51° 50' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI145%7CscientificName%3AIguaracu
10994,Ijopega,37469,I160,Stone,Ordinary,Chondrite,H,6,7.33 kg,1975,March,3,2145,Goroka,Papua-New Guinea,-6.0333,145.3667,6° 2' S,145° 22' E,,
11017,Indarch,37492,I300,Stone,Enstatite,Chondrite,EH,4,27 kg,1891,April,7,2010,Nagorno-Karabakh,Azerbaijan,39.75,46.6667,39° 45' N,46° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI300%7CscientificName%3AIndarch
11018,Independence,37493,I325,Stone,Ordinary,Chondrite,L,6,880 g,1917,,,,Missouri,USA,39.0833,-94.4,39° 5' N,94° 24' W,,
11026,Ibbenbüren,37501,I40,Stone,Diogenite,Achondrite,DIO,,2 kg,1870,June,17,1400,Nordrhein-Westfalen,Germany,52.2833,7.7,52° 17' N,7° 42' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI40%7CscientificName%3AIbbenb%C3%BCren
11028,Inner Monglia,37503,I410,Stone,Ordinary,Chondrite,L,6,3 kg,1963,,,,Nei Monggol,China,41.0,112.0,41° N,112° E,,
11030,Innisfree,37505,I412,Stone,Ordinary,Chondrite,L,5,4.58 kg,1977,February,5,1917,Alberta,Canada,53.415,-111.3375,53° 24' 54'' N,111° 20' 15'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI412%7CscientificName%3AInnisfree
11033,Ibitira,37508,I50,Stone,Eucrite,Achondrite,EUC,,2.5 kg,1957,June,30,1715,Minas Gerais,Brazil,-20.0,-45.0,20° S,45° W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI50%7CscientificName%3AIbitira
11035,Ipiranga,37510,I510,Stone,Ordinary,Chondrite,H,6,,1972,December,27,1030,Parana,Brazil,-25.5,-54.5,25° 30' S,54° 30' W,,
11040,Ibrisim,37515,I60,Stone,,Chondrite,,,,1949,,,,,Turkey,38.0,35.0,38° N,35° E,,
11042,Ishinga,37517,I640,Stone,Ordinary,Chondrite,H,,1.3 kg,1954,October,8,1500,,Tanzania,-8.9333,33.8,8° 56' S,33° 48' E,,
11046,Ichkala,37521,I70,Stone,Ordinary,Chondrite,H,6,3972 g,1936,May,29,2334,Tomsk Province,Russia,58.2,82.9333,58° 12' N,82° 56' E,,
11047,Isthilart,37522,I700,Stone,Ordinary,Chondrite,H,5,3050 g,1928,November,12,730,Entre Rios,Argentina,-31.1833,-57.95,31° 11' S,57° 57' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI700%7CscientificName%3AIsthilart
11050,Itapicuru-Mirim,37525,I730,Stone,Ordinary,Chondrite,H,5,2 kg,1879,March,,,Maranhão,Brazil,-3.4,-44.3333,3° 24' S,44° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI730%7CscientificName%3AItapicuru-Mirim
11052,Itqiy,37527,I745,Stone,Ungrouped,,UNGR,,4420 g,1990,,,,,Western Sahara,26.5908,-12.9522,26° 35.45' N,12° 57.13' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI745%7CscientificName%3AItqiy
11058,Ivuna,37533,I830,Stone,Carbonaceous,Chondrite,CI,1,704.5 g,1938,December,16,1730,,Tanzania,-8.4167,32.4333,8° 25' S,32° 26' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AI830%7CscientificName%3AIvuna
11063,Jamkheir,37538,J110,Stone,Ordinary,Chondrite,H,6,,1866,October,5,1200,Maharashtra,India,18.75,75.3333,18° 45' N,75° 20' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ110%7CscientificName%3AJamkheir
11065,Jartai,37540,J184,Stone,Ordinary,Chondrite,L,6,20.5 kg,1979,March,15,,Ningxia,China,39.7,105.8,39° 42' N,105° 48' E,,
11066,Jackalsfontein,37541,J20,Stone,Ordinary,Chondrite,L,6,,1903,April,22,1130,Cape Province,South Africa,-32.5,21.9,32° 30' S,21° 54' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ20%7CscientificName%3AJackalsfontein
11071,Jelica,37546,J310,Stone,Ordinary,Chondrite,LL,6,34 kg,1889,December,1,1430,Serbia,Yugoslavia,43.8333,20.4417,43° 50' N,20° 26' 30'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ310%7CscientificName%3AJelica
11072,Jemlapur,37547,J330,Stone,Ordinary,Chondrite,L,6,0.45 kg,1901,February,,,,India,,,,,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ330%7CscientificName%3AJemlapur
