,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
13367,Laochenzhen,39842,L505,Stone,Ordinary,Chondrite,H,5,14.25 kg,1987,February,23,300,Henan,China,33.1333,115.1667,33° 8' N,115° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL505%7CscientificName%3ALaochenzhen
13381,La Charca,39856,L70,Stone,,Chondrite,,,399 g,1878,June,11,1130,Guanajuato,Mexico,20.6667,-101.2833,20° 40' N,101° 17' W,,
13385,Launton,39860,L740,Stone,Ordinary,Chondrite,L,6,1.05 kg,1830,February,15,1930,Oxfordshire,England,51.9,-1.1167,51° 54' N,1° 7' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL740%7CscientificName%3ALaunton
13389,Lavrentievka,39864,L830,Stone,Ordinary,Chondrite,L,6,1045 g,1938,January,11,1430,Orenburg Province,Russia,52.45,51.5667,52° 27' N,51° 34' E,,
13397,La Colina,39872,L90,Stone,Ordinary,Chondrite,H,5,2 kg,1924,March,19,2330,Buenos Aires provinc,Argentina,-37.3333,-61.5333,37° 20' S,61° 32' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL90%7CscientificName%3ALa%20Colina
13399,Leedey,39874,L930,Stone,Ordinary,Chondrite,L,6,50 kg,1943,November,25,1900,Oklahoma,USA,35.8833,-99.3333,35° 53' N,99° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL930%7CscientificName%3ALeedey
13400,La Criolla,39875,L95,Stone,Ordinary,Chondrite,L,6,35 kg,1985,January,6,,Entre Rios,Argentina,-31.2333,-58.1667,31° 14' S,58° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL95%7CscientificName%3ALa%20Criolla
13401,Leeuwfontein,39876,L960,Stone,Ordinary,Chondrite,L,6,460 g,1912,June,21,1400,Transvaal,South Africa,-25.6667,28.3667,25° 40' S,28° 22' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL960%7CscientificName%3ALeeuwfontein
13405,Leighlinbridge,39880,L995,Stone,Ordinary,Chondrite,L,6,271.4 g,1999,November,28,2210 (local time),Carlow,Ireland,52.6667,-6.9667,52° 40' N,6° 58' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL995%7CscientificName%3ALeighlinbridge
13412,Maryville,39887,M1125,Stone,Ordinary,Chondrite,L,6,1443 g,1983,January,28,513,Tennessee,USA,35.8,-84.1,35° 48' N,84° 6' W,,
13414,Mascombes,39889,M1140,Stone,Ordinary,Chondrite,L,6,1 kg,1836,January,31,1300,Correze,France,45.3667,1.8667,45° 22' N,1° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1140%7CscientificName%3AMascombes
13428,Mayo Belwa,39903,M1320,Stone,Aubrite,Achondrite,AUB,,4.85 kg,1974,August,3,evening,,Nigeria,8.9667,12.0833,8° 58' N,12° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1320%7CscientificName%3AMayo%20Belwa
13430,Mazapil,39905,M1340,Iron,Medium octahedrite,,IAB,Om,4 kg,1885,November,27,2100,Zacatecas,Mexico,24.6833,-101.6833,24° 41' N,101° 41' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1340%7CscientificName%3AMazapil
13431,Maziba,39906,M1350,Stone,Ordinary,Chondrite,L,6,4975 g,1942,September,24,,Kigezi district,Uganda,-1.2167,30.0,1° 13' S,30° E,,
13432,Mbale,39907,M1355,Stone,Ordinary,Chondrite,L,5-6,108 kg,1992,August,14,15:40 (Local); 12:40,,Uganda,1.0667,34.1667,1° 4' N,34° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1355%7CscientificName%3AMbale
13435,Madhipura,39910,M140,Stone,Ordinary,Chondrite,L,,1 kg,1950,May,23,1500,Bihar,India,25.9167,86.3667,25° 55' N,86° 22' E,,
13445,Medanitos,39920,M1490,Stone,Eucrite,Achondrite,EUC,,31 g,1953,July,14,1400,Catamarca,Argentina,-27.25,-67.5,27° 15' S,67° 30' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM1490%7CscientificName%3AMedanitos
13447,Meerut,39922,M1550,Stone,,Chondrite,,,,1861,,,,Uttar Pradesh,India,29.0167,77.8,29° 1' N,77° 48' E,,
