,Year,Month,Group_x,count,month_no
575,1979,May,L,1,5
576,1980,April,H,1,4
577,1980,August,L/LL,1,8
578,1980,December,CR,1,12
579,1980,June,L,1,6
580,1980,September,H,1,9
581,1981,February,H,1,2
582,1981,January,L,1,1
583,1981,May,L,1,5
584,1981,May,LL,1,5
585,1981,November,H,1,11
586,1982,July,L/LL,1,7
587,1982,November,L,1,11
588,1982,September,H,1,9
589,1983,February,L,1,2
590,1983,January,H,1,1
591,1983,January,L,1,1
592,1983,June,CK,1,6
593,1984,April,UNGR,1,4
594,1984,August,H,1,8
595,1984,December,L,1,12
596,1984,June,H,1,6
597,1984,June,L,1,6
598,1984,March,L,1,3
599,1984,October,H,1,10
600,1984,October,L,1,10
601,1984,September,H,1,9
602,1985,January,L,1,1
603,1985,November,LL,1,11
604,1986,April,CM,1,4
605,1986,April,L,1,4
606,1986,January,H,1,1
607,1986,July,H,1,7
608,1986,July,L,1,7
609,1986,June,L,1,6
610,1986,March,LL,1,3
611,1986,September,L,1,9
612,1987,February,H,1,2
613,1988,August,H,1,8
614,1988,July,H,1,7
615,1988,March,LL,1,3
616,1988,May,H,1,5
617,1988,September,L,1,9
618,1989,August,L,1,8
619,1989,December,LL,1,12
620,1989,June,L,1,6
621,1989,October,L,1,10
622,1990,April,LL,1,4
623,1990,July,H,1,7
624,1990,October,H,1,10
625,1990,September,UNGR,1,9
626,1991,August,H,1,8
627,1991,August,L,1,8
628,1991,January,L,1,1
629,1991,March,H,1,3
630,1991,May,L,1,5
631,1992,August,L,1,8
632,1992,December,L,1,12
633,1992,October,H,1,10
634,1993,August,L,1,8
635,1993,December,L,1,12
636,1994,August,L,1,8
637,1994,June,H,1,6
638,1994,November,L,1,11
639,1994,October,L,2,10
640,1995,February,L,1,2
641,1995,January,H,1,1
642,1995,March,H,1,3
643,1996,December,H,1,12
644,1996,January,H,1,1
645,1996,September,H,1,9
646,1997,February,H,1,2
647,1997,September,L,1,9
648,1998,August,H,1,8
649,1998,December,H,1,12
650,1998,July,L,1,7
651,1998,June,H,2,6
652,1998,March,H,1,3
653,1998,March,L,1,3
654,1998,September,H,1,9
655,1998,September,L,1,9
656,1999,April,LL,1,4
657,1999,December,L,1,12
658,1999,November,L,1,11
659,1999,September,CK,1,9
660,2000,January,C,1,1
661,2000,July,H,1,7
662,2000,May,H,1,5
663,2001,March,H,1,3
