,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,country code,area(sq Km),marker_color
30,Andover,2295,Chondrite,L6,3200.0,1898.0,44.61667,-70.75,United States,North America,USA,9147420.0,orange
31,Andreevka,2296,Chondrite,L3,600.0,1969.0,48.7,37.5,Ukraine,Europe,UKR,579320.0,orange
32,Andura,2298,Chondrite,H6,17900.0,1939.0,20.88333,76.86667,India,Asia,IND,2973190.0,orange
33,Angra dos Reis (stone),2302,Achondrite,Angrite,1500.0,1869.0,-22.96667,-44.31667,Brazil,South America,BRA,8358140.0,gray
34,Ankober,2304,Chondrite,H4,6500.0,1942.0,9.53333,39.71667,Ethiopia,Africa,ETH,1128570.952,orange
35,Anlong,2305,Chondrite,H5,2500.0,1971.0,25.15,105.18333,China,Asia,CHN,9424700.7,orange
36,Aomori,2313,Chondrite,L6,320.0,1984.0,40.81056,140.78556,Japan,Asia,JPN,364500.0,orange
37,Appley Bridge,2318,Chondrite,LL6,15000.0,1914.0,53.58333,-2.71667,United Kingdom,Europe,GBR,241930.0,orange
38,Arbol Solo,2325,Chondrite,H5,810.0,1954.0,-33.0,-66.0,Argentina,South America,ARG,2736690.0,orange
39,Archie,2329,Chondrite,H6,5070.0,1932.0,38.5,-94.3,United States,North America,USA,9147420.0,orange
40,Arroyo Aguiar,2340,Chondrite,H5,7450.0,1950.0,-31.41667,-60.66667,Argentina,South America,ARG,2736690.0,orange
41,Ash Creek,48954,Chondrite,L6,9500.0,2009.0,31.805,-97.01,United States,North America,USA,9147420.0,orange
42,Ashdon,2346,Chondrite,L6,1300.0,1923.0,52.05,0.3,United Kingdom,Europe,GBR,241930.0,orange
43,Assisi,2353,Chondrite,H5,2000.0,1886.0,43.03333,12.55,Italy,Europe,ITA,295718.0,orange
44,Atarra,4883,Chondrite,L4,1280.0,1920.0,25.25417,80.625,India,Asia,IND,2973190.0,orange
45,Atemajac,4884,Chondrite,L6,94.2,1896.0,20.06667,-103.66667,Mexico,North America,MEX,1943950.0,orange
46,Athens,4885,Chondrite,LL6,265.0,1933.0,34.75,-87.0,United States,North America,USA,9147420.0,orange
47,Atoka,4888,Chondrite,L6,1384.2,1945.0,34.31667,-96.15,United States,North America,USA,9147420.0,orange
48,Aubres,4893,Achondrite,Aubrite,800.0,1836.0,44.38333,5.16667,France,Europe,FRA,547557.0,gray
49,Aumale,4899,Chondrite,L6,50000.0,1865.0,36.16667,3.66667,Algeria,Africa,DZA,2381740.0,orange
50,Aumieres,4900,Chondrite,L6,2000.0,1842.0,44.33333,3.23333,France,Europe,FRA,547557.0,orange
51,Ausson,4903,Chondrite,L5,50000.0,1858.0,43.08333,0.58333,France,Europe,FRA,547557.0,orange
52,Avanhandava,4905,Chondrite,H4,9330.0,1952.0,-21.46028,-49.95083,Brazil,South America,BRA,8358140.0,orange
53,Avce,4906,Achondrite,"Iron, IIAB",1230.0,1908.0,46.0,13.5,Slovenia,Europe,SVN,20146.2,gray
54,Avilez,4907,Chondrite,H,146.0,1855.0,25.0,-103.5,Mexico,North America,MEX,1943950.0,orange
55,Awere,4910,Chondrite,L4,134.0,1968.0,2.71667,32.83333,Uganda,Africa,UGA,200520.0,orange
56,Aztec,4913,Chondrite,L6,2830.0,1938.0,36.8,-108.0,United States,North America,USA,9147420.0,orange
57,Bahjoi,4922,Primitive Achondrite,"Iron, IAB-sLL",10322.0,1934.0,28.48333,78.5,India,Asia,IND,2973190.0,blue
58,Bald Mountain,4925,Chondrite,L4,3700.0,1929.0,35.96667,-82.48333,United States,North America,USA,9147420.0,orange
59,Baldwyn,4926,Chondrite,L6,345.0,1922.0,34.5,-88.66667,United States,North America,USA,9147420.0,orange
60,Bali,4928,Chondrite,CV3,1000.0,1907.0,5.38333,16.38333,Central African Republic,Africa,CAF,622980.0,orange
61,Ban Rong Du,4934,Unclassified,"Iron, ungrouped",16700.0,1993.0,16.66667,101.18333,Thailand,Asia,THA,510890.0,darkred
62,Bandong,4935,Chondrite,LL6,11500.0,1871.0,-6.91667,107.6,Indonesia,Asia,IDN,1877519.0,orange
63,Bansur,4936,Chondrite,L6,15000.0,1892.0,27.7,76.33333,India,Asia,IND,2973190.0,orange
64,Banswal,4937,Chondrite,L5,14.0,1913.0,30.4,78.2,India,Asia,IND,2973190.0,orange
65,Banten,4938,Chondrite,CM2,629.0,1933.0,-6.33333,106.0,Indonesia,Asia,IDN,1877519.0,orange
66,Barea,4946,Achondrite,Mesosiderite-A1,3200.0,1842.0,42.38333,-2.5,Spain,Europe,ESP,500010.0,gray
67,Barnaul,4947,Chondrite,H5,23.2,1904.0,52.73333,84.08333,Russian Federation,Europe,RUS,16376870.0,orange
68,Barntrup,4948,Chondrite,LL4,17.0,1886.0,52.0,9.1,Germany,Europe,DEU,348570.0,orange
69,Baroti,4949,Chondrite,L6,4500.0,1910.0,31.61667,76.8,India,Asia,IND,2973190.0,orange
70,Barwell,4954,Chondrite,L5,44000.0,1965.0,52.56528,-1.33972,United Kingdom,Europe,GBR,241930.0,orange
71,Bassikounou,44876,Chondrite,H5,29560.0,2006.0,15.78333,-5.9,Mauritania,Africa,MRT,1030700.0,orange
72,Baszkówka,4957,Chondrite,L5,15500.0,1994.0,52.03333,20.93583,Poland,Europe,POL,306280.0,orange
73,Bath,4974,Chondrite,H4,21000.0,1892.0,45.41667,-98.31667,United States,North America,USA,9147420.0,orange
74,Bath Furnace,4975,Chondrite,L6,86000.0,1902.0,38.25,-83.75,United States,North America,USA,9147420.0,orange
75,Battle Mountain,56133,Chondrite,L6,2900.0,2012.0,40.66813,-117.18913,United States,North America,USA,9147420.0,orange
76,Bawku,4976,Chondrite,LL5,1557.0,1989.0,11.08333,-0.18333,Ghana,Africa,GHA,227540.0,orange
77,Baxter,4977,Chondrite,L6,611.0,1916.0,36.75,-93.5,United States,North America,USA,9147420.0,orange
78,Beardsley,4984,Chondrite,H5,16000.0,1929.0,39.8,-101.2,United States,North America,USA,9147420.0,orange
79,Beaver Creek,4986,Chondrite,H5,14000.0,1893.0,51.16667,-117.33333,Canada,North America,CAN,8965590.0,orange
80,Beddgelert,4993,Chondrite,H5,794.0,1949.0,53.01667,-4.1,United Kingdom,Europe,GBR,241930.0,orange
81,Bells,5005,Chondrite,C2-ung,375.0,1961.0,33.6,-96.46667,United States,North America,USA,9147420.0,orange
82,Belville,5009,Chondrite,OC,,1937.0,-32.33333,-64.86667,Argentina,South America,ARG,2736690.0,orange
83,Benguerir,30443,Chondrite,LL6,25000.0,2004.0,32.25,-8.15,Morocco,Africa,MAR,446300.0,orange
84,Beni M'hira,5018,Chondrite,L6,19000.0,2001.0,32.86667,10.8,Tunisia,Africa,TUN,155360.0,orange
85,Benld,5021,Chondrite,H6,1770.5,1938.0,39.08333,-89.15,United States,North America,USA,9147420.0,orange
86,Benoni,5023,Chondrite,H6,3880.0,1943.0,-26.16667,28.41667,South Africa,Africa,ZAF,1213090.0,orange
87,Bensour,5024,Chondrite,LL6,45000.0,2002.0,30.0,-7.0,Morocco,Africa,MAR,446300.0,orange
88,Benton,5026,Chondrite,LL6,2840.0,1949.0,45.95,-67.55,Canada,North America,CAN,8965590.0,orange
89,Berduc,48975,Chondrite,L6,270.0,2008.0,-31.91,-58.32833,Argentina,South America,ARG,2736690.0,orange
90,Béréba,5028,Achondrite,Eucrite-mmict,18000.0,1924.0,11.65,-3.65,Burkina Faso,Africa,BFA,273600.0,gray
91,Berthoud,47355,Achondrite,Eucrite-mmict,960.0,2004.0,40.30583,-105.02325,United States,North America,USA,9147420.0,gray
92,Bethlehem,5032,Chondrite,H,13.9,1859.0,42.53333,-73.83333,United States,North America,USA,9147420.0,orange
93,Beuste,5034,Chondrite,L5,2000.0,1859.0,43.21667,-0.23333,France,Europe,FRA,547557.0,orange
94,Beyrout,5035,Chondrite,LL3.8,1100.0,1921.0,33.88333,35.5,Lebanon,Asia,LBN,10230.0,orange
95,Bhagur,5037,Chondrite,L6,18.0,1877.0,20.88333,74.83333,India,Asia,IND,2973190.0,orange
96,Bhawad,36591,Chondrite,LL6,678.0,2002.0,26.50833,73.11528,India,Asia,IND,2973190.0,orange
97,Bherai,5039,Chondrite,L6,100.0,1893.0,20.83333,71.46667,India,Asia,IND,2973190.0,orange
98,Bhola,5040,Chondrite,LL3-6,1047.0,1940.0,22.68333,90.65,Bangladesh,Asia,BGD,130170.0,orange
99,Bholghati,5041,Achondrite,Howardite,2500.0,1905.0,22.08333,86.9,India,Asia,IND,2973190.0,gray
100,Bielokrynitschie,5043,Chondrite,H4,1900.0,1887.0,50.13333,27.16667,Ukraine,Europe,UKR,579320.0,orange
101,Bilanga,5045,Achondrite,Diogenite,25000.0,1999.0,12.45,-0.08333,Burkina Faso,Africa,BFA,273600.0,gray
102,Binningup,5051,Chondrite,H5,488.1,1984.0,-33.15639,115.67639,Australia,Oceania,AUS,7682300.0,orange
103,Birni N'konni,5056,Chondrite,H4,560.0,1923.0,13.76667,5.3,Nigeria,Africa,NGA,910770.0,orange
104,Bishopville,5059,Achondrite,Aubrite,6000.0,1843.0,34.16667,-80.28333,United States,North America,USA,9147420.0,gray
105,Bishunpur,5060,Chondrite,LL3.15,1039.0,1895.0,25.38333,82.6,India,Asia,IND,2973190.0,orange
106,Bjurböle,5064,Chondrite,L/LL4,330000.0,1899.0,60.4,25.8,Finland,Europe,FIN,303900.0,orange
107,Black Moshannan Park,5065,Chondrite,L5,705.0,1941.0,40.91667,-78.08333,United States,North America,USA,9147420.0,orange
108,Blackwell,5068,Chondrite,L5,2381.0,1906.0,36.83333,-97.33333,United States,North America,USA,9147420.0,orange
109,Blanket,5071,Chondrite,L6,5100.0,1909.0,31.83333,-98.83333,United States,North America,USA,9147420.0,orange
110,Blansko,5072,Chondrite,H6,470.0,1833.0,49.36667,16.63333,Czechia,Europe,CZE,77230.0,orange
111,Bloomington,5076,Chondrite,LL6,67.8,1938.0,40.48,-89.00417,United States,North America,USA,9147420.0,orange
112,Bo Xian,5090,Chondrite,LL3.9,7500.0,1977.0,33.83333,115.83333,China,Asia,CHN,9424700.7,orange
113,Bogou,5097,Primitive Achondrite,"Iron, IAB-MG",8800.0,1962.0,12.5,0.7,Burkina Faso,Africa,BFA,273600.0,blue
114,Boguslavka,5098,Achondrite,"Iron, IIAB",256000.0,1916.0,44.55,131.63333,Russian Federation,Europe,RUS,16376870.0,gray
115,Bori,5111,Chondrite,L6,8600.0,1894.0,21.95,78.03333,India,Asia,IND,2973190.0,orange
116,Boriskino,5112,Chondrite,CM2,1342.0,1930.0,54.23333,52.48333,Russian Federation,Europe,RUS,16376870.0,orange
117,Borkut,5113,Chondrite,L5,7000.0,1852.0,48.15,24.28333,Ukraine,Europe,UKR,579320.0,orange
118,Boumdeid (2003),57168,Chondrite,L6,190.0,2003.0,17.71067,-11.3715,Mauritania,Africa,MRT,1030700.0,orange
119,Boumdeid (2011),57167,Chondrite,L6,3599.0,2011.0,17.17493,-11.34133,Mauritania,Africa,MRT,1030700.0,orange
120,Bovedy,5121,Chondrite,L3,5460.0,1969.0,54.56667,-6.33333,United Kingdom,Europe,GBR,241930.0,orange
121,Bradford Woods,5128,Chondrite,L,762.0,1886.0,40.5,-80.08333,United States,North America,USA,9147420.0,orange
122,Braunau,5133,Achondrite,"Iron, IIAB",39000.0,1847.0,50.6,16.3,Czechia,Europe,CZE,77230.0,gray
123,Breitscheid,5134,Chondrite,H5,1500.0,1956.0,50.66694,8.18361,Germany,Europe,DEU,348570.0,orange
124,Bremervörde,5135,Chondrite,H/L3.9,7250.0,1855.0,53.4,9.1,Germany,Europe,DEU,348570.0,orange
125,Brient,5140,Achondrite,Eucrite-pmict,219.0,1933.0,52.13333,59.31667,Russian Federation,Europe,RUS,16376870.0,gray
126,Bruderheim,5156,Chondrite,L6,303000.0,1960.0,53.9,-112.88333,Canada,North America,CAN,8965590.0,orange
127,Bukhara,30448,Chondrite,CV3,5300.0,2001.0,39.77978,64.60035,Uzbekistan,Asia,UZB,435892.0,orange
128,Bulls Run,5163,Unclassified,Iron?,2250.0,1964.0,-29.09845,22.584989,South Africa,Africa,ZAF,1213090.0,darkred
129,Bunburra Rockhole,48653,Achondrite,Eucrite,324.0,2007.0,-31.35,129.19,Australia,Oceania,AUS,7682300.0,gray
130,Bununu,5165,Achondrite,Howardite,357.0,1942.0,10.01667,9.58333,Nigeria,Africa,NGA,910770.0,gray
131,Bur-Gheluai,5169,Chondrite,H5,120000.0,1919.0,5.0,48.0,Somalia,Africa,SOM,627340.0,orange
132,Burnwell,5175,Chondrite,H4-an,1504.0,1990.0,37.62194,-82.23722,United States,North America,USA,9147420.0,orange
133,Bursa,5177,Chondrite,L6,25000.0,1946.0,40.2,29.23333,Turkey,Asia,,,orange
134,Buschhof,5178,Chondrite,L6,5000.0,1863.0,46.45,25.78333,Romania,Europe,ROU,230050.0,orange
135,Bustee,5181,Achondrite,Aubrite,1500.0,1852.0,26.78333,82.83333,India,Asia,IND,2973190.0,gray
136,Butsura,5183,Chondrite,H6,29000.0,1861.0,27.08333,84.08333,India,Asia,IND,2973190.0,orange
137,Buzzard Coulee,48654,Chondrite,H4,41000.0,2008.0,52.996,-109.84817,Canada,North America,CAN,8965590.0,orange
138,Cabezo de Mayo,5185,Chondrite,L/LL6,25000.0,1870.0,37.98333,-1.16667,Spain,Europe,ESP,500010.0,orange
139,Cabin Creek,5186,Achondrite,"Iron, IIIAB",48500.0,1886.0,35.5,-93.5,United States,North America,USA,9147420.0,gray
140,Cacak,5187,Chondrite,OC,212.0,1919.0,43.83889,20.33333,Serbia,Europe,SRB,87460.0,orange
141,Cali,45976,Chondrite,H/L4,478.0,2007.0,3.405,-76.51,Colombia,South America,COL,1109500.0,orange
142,Calivo,5200,Unclassified,Stone-uncl,2400.0,1916.0,11.75,122.33333,Philippines,Asia,PHL,298170.0,darkred
143,Campos Sales,5249,Chondrite,L5,23680.0,1991.0,-7.03333,-40.16667,Brazil,South America,BRA,8358140.0,orange
144,Çanakkale,5250,Chondrite,L6,4000.0,1964.0,39.8,26.6,Turkey,Asia,,,orange
145,Cañellas,5251,Chondrite,H4,945.0,1861.0,41.25,1.66667,Spain,Europe,ESP,500010.0,orange
146,Cangas de Onis,5252,Chondrite,H5,34000.0,1866.0,43.38333,-5.15,Spain,Europe,ESP,500010.0,orange
147,Canon City,5253,Chondrite,H6,1400.0,1973.0,38.47028,-105.24139,United States,North America,USA,9147420.0,orange
148,Cape Girardeau,5260,Chondrite,H6,2300.0,1846.0,37.26667,-89.58333,United States,North America,USA,9147420.0,orange
149,Capilla del Monte,5264,Chondrite,H6,750.0,1934.0,-30.88333,-64.55,Argentina,South America,ARG,2736690.0,orange
150,Carancas,45817,Chondrite,H4-5,342.0,2007.0,-16.66444,-69.04389,Peru,South America,PER,1280000.0,orange
151,Caratash,5265,Chondrite,LL6,8.0,1902.0,38.5,27.0,Turkey,Asia,,,orange
152,Castalia,5291,Chondrite,H5,7300.0,1874.0,36.08333,-78.06667,United States,North America,USA,9147420.0,orange
153,Castine,5293,Chondrite,L6,94.0,1848.0,44.38333,-68.75,United States,North America,USA,9147420.0,orange
154,Ceniceros,5306,Chondrite,L3.7,1025.0,1988.0,26.46667,-105.23333,Mexico,North America,MEX,1943950.0,orange
155,Centerville,5307,Chondrite,H5,45.6,1956.0,43.2,-96.91667,United States,North America,USA,9147420.0,orange
156,Cereseto,5308,Chondrite,H5,6460.0,1840.0,45.08333,8.3,Italy,Europe,ITA,295718.0,orange
157,Chadong,5313,Chondrite,L6,3700.0,1998.0,28.53333,109.31667,China,Asia,CHN,9424700.7,orange
158,Chainpur,5315,Chondrite,LL3.4,8200.0,1907.0,25.85,83.48333,India,Asia,IND,2973190.0,orange
159,Chajari,5316,Chondrite,L5,18300.0,1933.0,-30.78333,-58.05,Argentina,South America,ARG,2736690.0,orange
160,Chandakapur,5320,Chondrite,L5,8800.0,1838.0,20.26667,76.01667,India,Asia,IND,2973190.0,orange
161,Chandpur,5321,Chondrite,L6,1100.0,1885.0,27.28333,79.05,India,Asia,IND,2973190.0,orange
162,Changde,5322,Chondrite,H5,1810.0,1977.0,29.08333,111.75,China,Asia,CHN,9424700.7,orange
163,Charlotte,5328,Achondrite,"Iron, IVA",4300.0,1835.0,36.16667,-87.33333,United States,North America,USA,9147420.0,gray
164,Charwallas,5330,Chondrite,H6,12000.0,1834.0,29.48333,75.5,India,Asia,IND,2973190.0,orange
165,Château-Renard,5332,Chondrite,L6,30000.0,1841.0,47.93333,2.91667,France,Europe,FRA,547557.0,orange
166,Chaves,5334,Achondrite,Howardite,2945.0,1925.0,41.93333,-7.46667,Spain,Europe,ESP,500010.0,gray
167,Chela,5338,Chondrite,H4,2936.0,1988.0,-3.66667,32.5,"Tanzania, United Republic of",Africa,,,orange
168,Chelyabinsk,57165,Chondrite,LL5,100000.0,2013.0,54.81667,61.11667,Russian Federation,Europe,RUS,16376870.0,orange
169,Chergach ,47347,Chondrite,H5,100000.0,2007.0,23.69639,-5.01472,Mali,Africa,MLI,1220190.0,orange
170,Chernyi Bor,5339,Chondrite,H4,6000.0,1964.0,53.7,30.1,Belarus,Europe,BLR,202902.0,orange
171,Cherokee Springs,5340,Chondrite,LL6,8400.0,1933.0,35.03333,-81.88333,United States,North America,USA,9147420.0,orange
172,Chervettaz,5341,Chondrite,L5,705.0,1901.0,46.55,6.81667,Switzerland,Europe,CHE,39516.0,orange
173,Chervony Kut,5342,Achondrite,Eucrite-mmict,1700.0,1939.0,50.83333,34.0,Ukraine,Europe,UKR,579320.0,gray
174,Chetrinahatti,5344,Unclassified,Stone-uncl,72.0,1880.0,14.5,76.5,India,Asia,IND,2973190.0,darkred
175,Chiang Khan,5345,Chondrite,H6,367.0,1981.0,17.9,101.63333,Lao People's Democratic Republic,Asia,,,orange
176,Chicora,5349,Chondrite,LL6,303.0,1938.0,40.93333,-79.73333,United States,North America,USA,9147420.0,orange
177,Chisenga,5355,Achondrite,"Iron, IIIAB",3920.0,1988.0,-10.05944,33.395,Malawi,Africa,MWI,94280.0,gray
178,Chitado,5356,Chondrite,L6,,1966.0,-17.35,13.96667,Angola,Africa,AGO,1246700.0,orange
179,Chitenay,5357,Chondrite,L6,4000.0,1978.0,47.47083,0.97667,France,Europe,FRA,547557.0,orange
180,Cilimus,5364,Chondrite,L5,1600.0,1979.0,-6.95,108.1,Indonesia,Asia,IDN,1877519.0,orange
181,Claxton,5374,Chondrite,L6,1455.0,1984.0,32.1025,-81.87278,United States,North America,USA,9147420.0,orange
182,Colby (Wisconsin),5395,Chondrite,L6,104000.0,1917.0,44.9,-90.28333,United States,North America,USA,9147420.0,orange
183,Cold Bokkeveld,5397,Chondrite,CM2,5200.0,1838.0,-33.13333,19.38333,South Africa,Africa,ZAF,1213090.0,orange
184,Coleman,5401,Chondrite,L6,469.0,1994.0,43.76111,-84.50778,United States,North America,USA,9147420.0,orange
185,Collescipoli,5403,Chondrite,H5,5000.0,1890.0,42.53333,12.61667,Italy,Europe,ITA,295718.0,orange
186,Conquista,5418,Chondrite,H4,20350.0,1965.0,-19.85,-47.55,Brazil,South America,BRA,8358140.0,orange
187,Cosina,5451,Chondrite,H5,1200.0,1844.0,21.16667,-100.86667,Mexico,North America,MEX,1943950.0,orange
188,Cranganore,5465,Chondrite,L6,1460.0,1917.0,10.2,76.26667,India,Asia,IND,2973190.0,orange
189,Crescent,5470,Chondrite,CM2,78.4,1936.0,35.95,-97.58333,United States,North America,USA,9147420.0,orange
190,Cronstad,5474,Chondrite,H5,3650.0,1877.0,-27.7,27.3,South Africa,Africa,ZAF,1213090.0,orange
191,Cross Roads,5476,Chondrite,H5,167.0,1892.0,35.63333,-78.13333,United States,North America,USA,9147420.0,orange
192,Crumlin,5477,Chondrite,L5,4255.0,1902.0,54.61667,-6.21667,United Kingdom,Europe,GBR,241930.0,orange
193,Cumberland Falls,5496,Achondrite,Aubrite,17000.0,1919.0,36.83333,-84.35,United States,North America,USA,9147420.0,gray
194,Cynthiana,5500,Chondrite,L/LL4,6000.0,1877.0,38.4,-84.25,United States,North America,USA,9147420.0,orange
195,Dahmani,5504,Chondrite,LL6,18000.0,1981.0,35.61667,8.83333,Tunisia,Africa,TUN,155360.0,orange
196,Dandapur,5511,Chondrite,L6,5650.0,1878.0,26.91667,83.96667,India,Asia,IND,2973190.0,orange
197,Daniel's Kuil,5513,Chondrite,EL6,1064.0,1868.0,-28.2,24.56667,South Africa,Africa,ZAF,1213090.0,orange
198,Danville,5514,Chondrite,L6,2000.0,1868.0,34.4,-87.06667,United States,North America,USA,9147420.0,orange
199,Dashoguz,6604,Chondrite,H5,7000.0,1998.0,41.98444,59.685,Turkmenistan,Asia,TKM,469930.0,orange
200,Daule,51559,Chondrite,L5,6580.0,2008.0,-1.87089,-79.95756,Ecuador,South America,ECU,248360.0,orange
201,De Cewsville,6621,Chondrite,H6,340.0,1887.0,43.0,-80.0,Canada,North America,CAN,8965590.0,orange
202,Delhi,6642,Chondrite,L5,0.8,1897.0,28.56667,77.25,India,Asia,IND,2973190.0,orange
203,Demina,6649,Chondrite,L6,16400.0,1911.0,51.46667,84.76667,Russian Federation,Europe,RUS,16376870.0,orange
204,Denver,6660,Chondrite,L6,230.0,1967.0,39.7825,-104.93056,United States,North America,USA,9147420.0,orange
205,Dergaon,6664,Chondrite,H5,12500.0,2001.0,26.68333,93.86667,India,Asia,IND,2973190.0,orange
206,Desuri,6693,Chondrite,H6,25400.0,1962.0,25.73333,73.61667,India,Asia,IND,2973190.0,orange
207,Devgaon,6694,Chondrite,H3.8,12000.0,2001.0,19.0,81.0,India,Asia,IND,2973190.0,orange
208,Devri-Khera,6696,Chondrite,L6,1140.0,1994.0,24.225,76.525,India,Asia,IND,2973190.0,orange
209,Dhajala,6698,Chondrite,H3.8,45000.0,1976.0,22.37778,71.42722,India,Asia,IND,2973190.0,orange
210,Dharwar,6699,Chondrite,OC,1800.0,1848.0,14.88333,75.6,India,Asia,IND,2973190.0,orange
211,Dhurmsala,7640,Chondrite,LL6,32000.0,1860.0,32.23333,76.46667,India,Asia,IND,2973190.0,orange
212,Didim,47350,Chondrite,H3-5,3396.0,2007.0,37.35172,27.32997,Turkey,Asia,,,orange
213,Diep River,7642,Chondrite,L6,1000.0,1906.0,-33.75,18.56667,South Africa,Africa,ZAF,1213090.0,orange
214,Distrito Quebracho,7649,Chondrite,H4,400.0,1957.0,-31.88333,-60.46667,Argentina,South America,ARG,2736690.0,orange
215,Djati-Pengilon,7652,Chondrite,H6,166000.0,1884.0,-7.5,111.5,Indonesia,Asia,IDN,1877519.0,orange
216,Djermaia,7656,Chondrite,H,3950.0,1961.0,12.73333,15.05,Chad,Africa,TCD,1259200.0,orange
217,Djoumine,7657,Chondrite,H5-6,10000.0,1999.0,36.95,9.55,Tunisia,Africa,TUN,155360.0,orange
218,Dokachi,7658,Chondrite,H5,3840.0,1903.0,23.5,90.33333,Bangladesh,Asia,BGD,130170.0,orange
219,Dolgovoli,7659,Chondrite,L6,1600.0,1864.0,50.75,25.3,Ukraine,Europe,UKR,579320.0,orange
220,Domanitch,7661,Chondrite,L5,438.0,1907.0,40.0,29.0,Turkey,Asia,,,orange
221,Dong Ujimqin Qi,7706,Achondrite,Mesosiderite,128800.0,1995.0,45.5,119.03333,China,Asia,CHN,9424700.7,gray
222,Donga Kohrod,7707,Chondrite,H6,230.0,1899.0,21.86667,82.45,India,Asia,IND,2973190.0,orange
223,Dongtai,7708,Chondrite,LL6,5500.0,1970.0,32.91667,120.78333,China,Asia,CHN,9424700.7,orange
224,Dosso,7722,Chondrite,L6,1250.0,1962.0,13.05,3.16667,Niger,Africa,NER,1266700.0,orange
225,Douar Mghila,7723,Chondrite,LL6,1161.0,1932.0,32.33333,-6.3,Morocco,Africa,MAR,446300.0,orange
226,Dowa,7725,Unclassified,Stone-uncl,642.0,1976.0,-13.66667,33.91667,Malawi,Africa,MWI,94280.0,darkred
