,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
81,2021-10-21 10:32:02,51.5N,51.4E,30.0,15.9,-14.1,-7.0,-1.9,37000000000.0,0.13,2021,10,51.5,51.4
82,2021-10-20 08:41:50,13.8N,140.4W,28.0,,,,,60000000000.0,0.19,2021,10,13.8,-140.4
83,2021-10-20 00:43:57,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,20000000000.0,0.073,2021,10,59.0,154.3
84,2021-09-29 10:50:59,53.9N,148.0W,28.0,21.2,-3.5,-9.0,-18.9,137000000000.0,0.4,2021,9,53.9,-148.0
85,2021-09-06 17:55:42,2.1S,111.8W,26.0,13.6,-4.4,6.9,10.9,31000000000.0,0.11,2021,9,-2.1,-111.8
86,2021-07-30 08:06:34,7.8S,90.1E,63.0,,,,,146000000000.0,0.42,2021,7,-7.8,90.1
87,2021-07-29 13:19:57,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,37000000000.0,0.13,2021,7,42.4,98.4
89,2021-07-05 03:46:24,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,740000000000.0,1.8,2021,7,44.3,-164.2
90,2021-06-09 05:43:59,17.9S,55.3W,,,,,,23000000000.0,0.082,2021,6,-17.9,-55.3
91,2021-05-16 15:51:08,52.1S,171.2W,37.0,,,,,38000000000.0,0.13,2021,5,-52.1,-171.2
92,2021-05-06 05:54:27,34.7S,141.0E,31.0,26.6,9.6,-24.4,-4.6,21000000000.0,0.076,2021,5,-34.7,141.0
93,2021-05-02 14:12:49,12.3N,43.4W,,,,,,25000000000.0,0.089,2021,5,12.3,-43.4
94,2021-04-13 02:16:47,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,21000000000.0,0.076,2021,4,26.8,-79.1
95,2021-04-02 15:52:58,71.2N,106.7E,40.0,14.1,-8.9,6.3,-9.0,137000000000.0,0.4,2021,4,71.2,106.7
96,2021-03-06 08:43:06,48.6S,90.4E,31.1,18.1,12.7,-4.7,12.0,141000000000.0,0.41,2021,3,-48.6,90.4
97,2021-03-05 13:50:01,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,39000000000.0,0.13,2021,3,-81.1,141.1
98,2021-02-28 03:47:37,9.2N,64.1W,,,,,,28000000000.0,0.098,2021,2,9.2,-64.1
99,2021-02-09 23:27:29,75.8N,92.8W,31.0,13.1,-5.2,6.3,-10.3,30000000000.0,0.1,2021,2,75.8,-92.8
