,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
69,Ban Rong Du,4934,Unclassified,"Iron, ungrouped",16700.0,1993.0,16.66667,101.18333,Thailand,Asia,5th_quantile,"(10322.0, 224800.0]"
70,Bandong,4935,Chondrite,LL6,11500.0,1871.0,-6.91667,107.6,Indonesia,Asia,5th_quantile,"(10322.0, 224800.0]"
71,Bansur,4936,Chondrite,L6,15000.0,1892.0,27.7,76.33333,India,Asia,5th_quantile,"(10322.0, 224800.0]"
72,Banswal,4937,Chondrite,L5,14.0,1913.0,30.4,78.2,India,Asia,1st_quantile,"(0.099, 22.0]"
73,Banten,4938,Chondrite,CM2,629.0,1933.0,-6.33333,106.0,Indonesia,Asia,2nd_quantile,"(22.0, 682.0]"
76,Barea,4946,Achondrite,Mesosiderite-A1,3200.0,1842.0,42.38333,-2.5,Spain,Europe,4th_quantile,"(2700.0, 10322.0]"
77,Barnaul,4947,Chondrite,H5,23.2,1904.0,52.73333,84.08333,Russian Federation,Europe,2nd_quantile,"(22.0, 682.0]"
78,Barntrup,4948,Chondrite,LL4,17.0,1886.0,52.0,9.1,Germany,Europe,1st_quantile,"(0.099, 22.0]"
79,Baroti,4949,Chondrite,L6,4500.0,1910.0,31.61667,76.8,India,Asia,4th_quantile,"(2700.0, 10322.0]"
80,Barwell,4954,Chondrite,L5,44000.0,1965.0,52.56528,-1.33972,United Kingdom,Europe,5th_quantile,"(10322.0, 224800.0]"
81,Bassikounou,44876,Chondrite,H5,29560.0,2006.0,15.78333,-5.9,Mauritania,Africa,5th_quantile,"(10322.0, 224800.0]"
82,Baszkówka,4957,Chondrite,L5,15500.0,1994.0,52.03333,20.93583,Poland,Europe,5th_quantile,"(10322.0, 224800.0]"
83,Bath,4974,Chondrite,H4,21000.0,1892.0,45.41667,-98.31667,United States,North America,5th_quantile,"(10322.0, 224800.0]"
84,Bath Furnace,4975,Chondrite,L6,86000.0,1902.0,38.25,-83.75,United States,North America,5th_quantile,"(10322.0, 224800.0]"
85,Battle Mountain,56133,Chondrite,L6,2900.0,2012.0,40.66813,-117.18913,United States,North America,4th_quantile,"(2700.0, 10322.0]"
86,Bawku,4976,Chondrite,LL5,1557.0,1989.0,11.08333,-0.18333,Ghana,Africa,3rd_quantile,"(682.0, 2700.0]"
87,Baxter,4977,Chondrite,L6,611.0,1916.0,36.75,-93.5,United States,North America,2nd_quantile,"(22.0, 682.0]"
88,Beardsley,4984,Chondrite,H5,16000.0,1929.0,39.8,-101.2,United States,North America,5th_quantile,"(10322.0, 224800.0]"
89,Beaver Creek,4986,Chondrite,H5,14000.0,1893.0,51.16667,-117.33333,Canada,North America,5th_quantile,"(10322.0, 224800.0]"
90,Beddgelert,4993,Chondrite,H5,794.0,1949.0,53.01667,-4.1,United Kingdom,Europe,3rd_quantile,"(682.0, 2700.0]"
91,Bells,5005,Chondrite,C2-ung,375.0,1961.0,33.6,-96.46667,United States,North America,2nd_quantile,"(22.0, 682.0]"
94,Benguerir,30443,Chondrite,LL6,25000.0,2004.0,32.25,-8.15,Morocco,Africa,5th_quantile,"(10322.0, 224800.0]"
95,Beni M'hira,5018,Chondrite,L6,19000.0,2001.0,32.86667,10.8,Tunisia,Africa,5th_quantile,"(10322.0, 224800.0]"
96,Benld,5021,Chondrite,H6,1770.5,1938.0,39.08333,-89.15,United States,North America,3rd_quantile,"(682.0, 2700.0]"
97,Benoni,5023,Chondrite,H6,3880.0,1943.0,-26.16667,28.41667,South Africa,Africa,4th_quantile,"(2700.0, 10322.0]"
98,Bensour,5024,Chondrite,LL6,45000.0,2002.0,30.0,-7.0,Morocco,Africa,5th_quantile,"(10322.0, 224800.0]"
99,Benton,5026,Chondrite,LL6,2840.0,1949.0,45.95,-67.55,Canada,North America,4th_quantile,"(2700.0, 10322.0]"
100,Berduc,48975,Chondrite,L6,270.0,2008.0,-31.91,-58.32833,Argentina,South America,2nd_quantile,"(22.0, 682.0]"
101,Béréba,5028,Achondrite,Eucrite-mmict,18000.0,1924.0,11.65,-3.65,Burkina Faso,Africa,5th_quantile,"(10322.0, 224800.0]"
103,Berthoud,47355,Achondrite,Eucrite-mmict,960.0,2004.0,40.30583,-105.02325,United States,North America,3rd_quantile,"(682.0, 2700.0]"
104,Bethlehem,5032,Chondrite,H,13.9,1859.0,42.53333,-73.83333,United States,North America,1st_quantile,"(0.099, 22.0]"
105,Beuste,5034,Chondrite,L5,2000.0,1859.0,43.21667,-0.23333,France,Europe,3rd_quantile,"(682.0, 2700.0]"
106,Beyrout,5035,Chondrite,LL3.8,1100.0,1921.0,33.88333,35.5,Lebanon,Asia,3rd_quantile,"(682.0, 2700.0]"
107,Bhagur,5037,Chondrite,L6,18.0,1877.0,20.88333,74.83333,India,Asia,1st_quantile,"(0.099, 22.0]"
108,Bhawad,36591,Chondrite,LL6,678.0,2002.0,26.50833,73.11528,India,Asia,2nd_quantile,"(22.0, 682.0]"
109,Bherai,5039,Chondrite,L6,100.0,1893.0,20.83333,71.46667,India,Asia,2nd_quantile,"(22.0, 682.0]"
110,Bhola,5040,Chondrite,LL3-6,1047.0,1940.0,22.68333,90.65,Bangladesh,Asia,3rd_quantile,"(682.0, 2700.0]"
111,Bholghati,5041,Achondrite,Howardite,2500.0,1905.0,22.08333,86.9,India,Asia,3rd_quantile,"(682.0, 2700.0]"
113,Bielokrynitschie,5043,Chondrite,H4,1900.0,1887.0,50.13333,27.16667,Ukraine,Europe,3rd_quantile,"(682.0, 2700.0]"
114,Bilanga,5045,Achondrite,Diogenite,25000.0,1999.0,12.45,-0.08333,Burkina Faso,Africa,5th_quantile,"(10322.0, 224800.0]"
115,Binningup,5051,Chondrite,H5,488.1,1984.0,-33.15639,115.67639,Australia,Oceania,2nd_quantile,"(22.0, 682.0]"
116,Birni N'konni,5056,Chondrite,H4,560.0,1923.0,13.76667,5.3,Nigeria,Africa,2nd_quantile,"(22.0, 682.0]"
117,Bishopville,5059,Achondrite,Aubrite,6000.0,1843.0,34.16667,-80.28333,United States,North America,4th_quantile,"(2700.0, 10322.0]"
118,Bishunpur,5060,Chondrite,LL3.15,1039.0,1895.0,25.38333,82.6,India,Asia,3rd_quantile,"(682.0, 2700.0]"
120,Bjurböle,5064,Chondrite,L/LL4,330000.0,1899.0,60.4,25.8,Finland,Europe,6th_quantile,"(224800.0, 23000000.0]"
121,Black Moshannan Park,5065,Chondrite,L5,705.0,1941.0,40.91667,-78.08333,United States,North America,3rd_quantile,"(682.0, 2700.0]"
