,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
445,Kangean,12245,Chondrite,H5,1630.0,1908.0,-7.0,115.5,Indonesia,Asia,3rd_quantile,"(682.0, 2700.0]"
446,Kangra Valley,12246,Chondrite,H5,400.0,1897.0,32.08333,76.3,India,Asia,2nd_quantile,"(22.0, 682.0]"
447,Kapoeta,12251,Achondrite,Howardite,11355.0,1942.0,4.7,33.63333,South Sudan,Africa,5th_quantile,"(10322.0, 224800.0]"
448,Kaprada,47357,Chondrite,L5/6,1600.0,2004.0,20.33916,73.22329,India,Asia,3rd_quantile,"(682.0, 2700.0]"
449,Kaptal-Aryk,12253,Chondrite,L6,3500.0,1937.0,42.45,73.36667,Kazakhstan,Asia,4th_quantile,"(2700.0, 10322.0]"
450,Karakol,12256,Chondrite,LL6,3000.0,1840.0,47.21667,81.01667,Kazakhstan,Asia,4th_quantile,"(2700.0, 10322.0]"
451,Karatu,12258,Chondrite,LL6,2220.0,1963.0,-3.5,35.58333,"Tanzania, United Republic of",Africa,3rd_quantile,"(682.0, 2700.0]"
452,Karewar,12260,Chondrite,L6,180.0,1949.0,12.9,7.15,Nigeria,Africa,2nd_quantile,"(22.0, 682.0]"
453,Karkh,12262,Chondrite,L6,22000.0,1905.0,27.8,67.16667,Pakistan,Asia,5th_quantile,"(10322.0, 224800.0]"
454,Karloowala,12263,Chondrite,L6,2950.0,1955.0,31.58333,71.6,Pakistan,Asia,4th_quantile,"(2700.0, 10322.0]"
455,Karoonda,12264,Chondrite,CK4,41730.0,1930.0,-35.08333,139.91667,Australia,Oceania,5th_quantile,"(10322.0, 224800.0]"
456,Kasamatsu,12266,Chondrite,H,710.0,1938.0,35.36667,136.76667,Japan,Asia,3rd_quantile,"(682.0, 2700.0]"
457,Kasauli,30740,Chondrite,H4,16820.0,2003.0,29.58333,77.58333,India,Asia,5th_quantile,"(10322.0, 224800.0]"
458,Katagum,35465,Chondrite,L6,1500.0,1999.0,11.33333,10.08333,Nigeria,Africa,3rd_quantile,"(682.0, 2700.0]"
459,Kavarpura,47351,Achondrite,"Iron, IIE-an",6800.0,2006.0,25.14333,75.81333,India,Asia,4th_quantile,"(2700.0, 10322.0]"
460,Kayakent,12268,Achondrite,"Iron, IIIAB",85000.0,1961.0,39.26333,31.78,Turkey,Asia,5th_quantile,"(10322.0, 224800.0]"
461,Kediri,12270,Chondrite,L4,3300.0,1940.0,-7.75,112.01667,Indonesia,Asia,4th_quantile,"(2700.0, 10322.0]"
462,Kemer,53654,Chondrite,L4,5760.0,2008.0,36.54194,29.41822,Turkey,Asia,4th_quantile,"(2700.0, 10322.0]"
463,Kendleton,12275,Chondrite,L4,6937.0,1939.0,29.45,-96.0,United States,North America,4th_quantile,"(2700.0, 10322.0]"
464,Kendrapara,12276,Chondrite,H4-5,6669.2,2003.0,20.4625,86.70278,India,Asia,4th_quantile,"(2700.0, 10322.0]"
465,Kerilis,12282,Chondrite,H5,5000.0,1874.0,48.4,-3.3,France,Europe,4th_quantile,"(2700.0, 10322.0]"
466,Kernouve,12284,Chondrite,H6,80000.0,1869.0,48.11667,-3.08333,France,Europe,5th_quantile,"(10322.0, 224800.0]"
467,Kesen,12286,Chondrite,H4,135000.0,1850.0,38.98333,141.61667,Japan,Asia,5th_quantile,"(10322.0, 224800.0]"
468,Khairpur,12288,Chondrite,EL6,13600.0,1873.0,29.53333,72.3,Pakistan,Asia,5th_quantile,"(10322.0, 224800.0]"
469,Khanpur,12289,Chondrite,LL5,3698.0,1932.0,25.55,83.11667,India,Asia,4th_quantile,"(2700.0, 10322.0]"
471,Kheragur,12294,Chondrite,L6,450.0,1860.0,26.95,77.88333,India,Asia,2nd_quantile,"(22.0, 682.0]"
472,Khetri,12296,Chondrite,H6,100.0,1867.0,28.01667,75.81667,India,Asia,2nd_quantile,"(22.0, 682.0]"
473,Khmelevka,12297,Chondrite,L5,6109.0,1929.0,56.75,75.33333,Russian Federation,Europe,4th_quantile,"(2700.0, 10322.0]"
474,Khohar,12298,Chondrite,L3.6,9700.0,1910.0,25.1,81.53333,India,Asia,4th_quantile,"(2700.0, 10322.0]"
475,Khor Temiki,12299,Achondrite,Aubrite,3200.0,1932.0,16.0,36.0,Sudan,Africa,4th_quantile,"(2700.0, 10322.0]"
476,Kidairat,12300,Chondrite,H6,100000.0,1983.0,14.0,28.0,Sudan,Africa,5th_quantile,"(10322.0, 224800.0]"
477,Kiel,12301,Chondrite,L6,737.6,1962.0,54.4,10.15,Germany,Europe,3rd_quantile,"(682.0, 2700.0]"
478,Kiffa,12303,Chondrite,H5,1500.0,1970.0,16.58333,-11.33333,Mauritania,Africa,3rd_quantile,"(682.0, 2700.0]"
479,Kijima (1906),12305,Unclassified,Stone-uncl,331.0,1906.0,36.85,138.38333,Japan,Asia,2nd_quantile,"(22.0, 682.0]"
481,Kilabo,12307,Chondrite,LL6,19000.0,2002.0,12.76667,9.8,Nigeria,Africa,5th_quantile,"(10322.0, 224800.0]"
482,Kilbourn,12308,Chondrite,H5,772.0,1911.0,43.58333,-89.6,United States,North America,3rd_quantile,"(682.0, 2700.0]"
483,Killeter,12309,Chondrite,H6,140.0,1844.0,54.66667,-7.66667,United Kingdom,Europe,2nd_quantile,"(22.0, 682.0]"
484,Kingai,12316,Chondrite,H6,67.4,1967.0,11.63333,24.68333,Sudan,Africa,2nd_quantile,"(22.0, 682.0]"
485,Kirbyville,12321,Achondrite,Eucrite-mmict,97.7,1906.0,30.75,-95.95,United States,North America,2nd_quantile,"(22.0, 682.0]"
486,Kisvarsány,12325,Chondrite,L6,1550.0,1914.0,48.16667,22.30833,Hungary,Europe,3rd_quantile,"(682.0, 2700.0]"
487,Kitchener,12326,Chondrite,L6,202.6,1998.0,43.38333,-80.38333,Canada,North America,2nd_quantile,"(22.0, 682.0]"
488,Klein-Wenden,12332,Chondrite,H6,3250.0,1843.0,51.6,10.8,Germany,Europe,4th_quantile,"(2700.0, 10322.0]"
489,Knyahinya,12335,Chondrite,L/LL5,500000.0,1866.0,48.9,22.4,Slovakia,Europe,6th_quantile,"(224800.0, 23000000.0]"
490,Kobe,12336,Chondrite,CK4,136.0,1999.0,34.73333,135.16667,Japan,Asia,2nd_quantile,"(22.0, 682.0]"
491,Kokubunji,12342,Chondrite,L6,11510.0,1986.0,34.3,133.95,Japan,Asia,5th_quantile,"(10322.0, 224800.0]"
492,Komagome,12343,Unclassified,Iron,238.0,1926.0,35.73333,139.75,Japan,Asia,2nd_quantile,"(22.0, 682.0]"
493,Konovo,12344,Chondrite,LL5,90.0,1931.0,42.51667,26.16667,Bulgaria,Europe,2nd_quantile,"(22.0, 682.0]"
494,Košice,53810,Chondrite,H5,4300.0,2010.0,48.76367,21.17633,Slovakia,Europe,4th_quantile,"(2700.0, 10322.0]"
495,Krähenberg,12353,Chondrite,LL5,16500.0,1869.0,49.32694,7.46472,Germany,Europe,5th_quantile,"(10322.0, 224800.0]"
497,Krasnyi Klyuch,12357,Chondrite,H5,4000.0,1946.0,54.33333,56.08333,Russian Federation,Europe,4th_quantile,"(2700.0, 10322.0]"
498,Krutikha,12363,Chondrite,OC,845.2,1906.0,56.8,77.0,Russian Federation,Europe,3rd_quantile,"(682.0, 2700.0]"
499,Krymka,12364,Chondrite,LL3.2,50000.0,1946.0,47.83333,30.76667,Ukraine,Europe,5th_quantile,"(10322.0, 224800.0]"
500,Kukschin,12368,Chondrite,L6,2250.0,1938.0,51.15,31.7,Ukraine,Europe,3rd_quantile,"(682.0, 2700.0]"
501,Kulak,12369,Chondrite,L5,453.6,1961.0,30.73111,66.80222,Pakistan,Asia,2nd_quantile,"(22.0, 682.0]"
503,Kulp,12373,Chondrite,H6,3719.0,1906.0,41.11667,45.0,Armenia,Asia,4th_quantile,"(2700.0, 10322.0]"
504,Kunashak,12377,Chondrite,L6,200000.0,1949.0,55.78333,61.36667,Russian Federation,Europe,5th_quantile,"(10322.0, 224800.0]"
505,Kunya-Urgench,12379,Chondrite,H5,1100000.0,1998.0,42.25,59.2,Turkmenistan,Asia,6th_quantile,"(224800.0, 23000000.0]"
506,Kushiike,12381,Chondrite,OC,4460.0,1920.0,37.05,138.38333,Japan,Asia,4th_quantile,"(2700.0, 10322.0]"
507,Kusiali,12382,Chondrite,L6,5.0,1860.0,29.68333,78.38333,India,Asia,1st_quantile,"(0.099, 22.0]"
508,Kutais,12383,Chondrite,H5,23.0,1977.0,44.51667,39.3,Russian Federation,Europe,2nd_quantile,"(22.0, 682.0]"
509,Kuttippuram,12384,Chondrite,L6,45000.0,1914.0,10.83333,76.03333,India,Asia,5th_quantile,"(10322.0, 224800.0]"
510,Kuznetzovo,12385,Chondrite,L6,4047.0,1932.0,55.2,75.33333,Russian Federation,Europe,4th_quantile,"(2700.0, 10322.0]"
511,Kyushu,12390,Chondrite,L6,45000.0,1886.0,32.03333,130.63333,Japan,Asia,5th_quantile,"(10322.0, 224800.0]"
512,La Bécasse,12392,Chondrite,L6,2800.0,1879.0,47.08333,1.75,France,Europe,4th_quantile,"(2700.0, 10322.0]"
513,La Charca,12394,Chondrite,OC,399.0,1878.0,20.66667,-101.28333,Mexico,North America,2nd_quantile,"(22.0, 682.0]"
514,La Colina,12395,Chondrite,H5,2000.0,1924.0,-37.33333,-61.53333,Argentina,South America,3rd_quantile,"(682.0, 2700.0]"
515,La Criolla,12396,Chondrite,L6,45000.0,1985.0,-31.23333,-58.16667,Argentina,South America,5th_quantile,"(10322.0, 224800.0]"
516,Laborel,12408,Chondrite,H5,3833.0,1871.0,44.28333,5.58333,France,Europe,4th_quantile,"(2700.0, 10322.0]"
517,Lahrauli,12433,Primitive Achondrite,Ureilite,900.0,1955.0,26.78333,82.71667,India,Asia,3rd_quantile,"(682.0, 2700.0]"
519,Lakangaon,12435,Achondrite,Eucrite-mmict,212.5,1910.0,21.86667,76.03333,India,Asia,2nd_quantile,"(22.0, 682.0]"
520,Lalitpur,12451,Chondrite,L6,372.0,1887.0,24.45,78.56667,India,Asia,2nd_quantile,"(22.0, 682.0]"
521,Lancé,12455,Chondrite,CO3.5,51700.0,1872.0,47.7,1.06667,France,Europe,5th_quantile,"(10322.0, 224800.0]"
522,Lancon,12456,Chondrite,H6,7000.0,1897.0,43.75,5.11667,France,Europe,4th_quantile,"(2700.0, 10322.0]"
523,Långhalsen,12461,Chondrite,L6,2300.0,1947.0,58.85,16.73333,Sweden,Europe,3rd_quantile,"(682.0, 2700.0]"
524,Lanxi,12464,Chondrite,L6,1282.0,1986.0,46.24167,126.19611,China,Asia,3rd_quantile,"(682.0, 2700.0]"
525,Lanzenkirchen,12465,Chondrite,L4,7000.0,1925.0,47.75,16.23333,Austria,Europe,4th_quantile,"(2700.0, 10322.0]"
526,Laochenzhen,12466,Chondrite,H5,14250.0,1987.0,33.13333,115.16667,China,Asia,5th_quantile,"(10322.0, 224800.0]"
527,Launton,12740,Chondrite,L6,1060.0,1830.0,51.9,-1.11667,United Kingdom,Europe,3rd_quantile,"(682.0, 2700.0]"
528,Lavrentievka,12743,Chondrite,L6,800.0,1938.0,52.45,51.56667,Russian Federation,Europe,3rd_quantile,"(682.0, 2700.0]"
529,Le Pressoir,12748,Chondrite,H5,3000.0,1845.0,47.16667,0.43333,France,Europe,4th_quantile,"(2700.0, 10322.0]"
530,Le Teilleul,12749,Achondrite,Howardite,780.0,1845.0,48.53333,-0.86667,France,Europe,3rd_quantile,"(682.0, 2700.0]"
531,Leedey,12755,Chondrite,L6,51500.0,1943.0,35.88333,-99.33333,United States,North America,5th_quantile,"(10322.0, 224800.0]"
532,Leeuwfontein,12756,Chondrite,L6,460.0,1912.0,-25.66667,28.36667,South Africa,Africa,2nd_quantile,"(22.0, 682.0]"
533,Leighlinbridge,12759,Chondrite,L6,271.4,1999.0,52.66667,-6.96667,Ireland,Europe,2nd_quantile,"(22.0, 682.0]"
534,Leighton,12760,Chondrite,H5,877.0,1907.0,34.58333,-87.5,United States,North America,3rd_quantile,"(682.0, 2700.0]"
535,Leonovka,12765,Chondrite,L6,700.0,1900.0,52.26667,32.85,Ukraine,Europe,3rd_quantile,"(682.0, 2700.0]"
536,Les Ormes,12769,Chondrite,L6,125.0,1857.0,48.35,3.25,France,Europe,2nd_quantile,"(22.0, 682.0]"
537,Lesves,12772,Chondrite,L6,2000.0,1896.0,50.36667,4.73333,Belgium,Europe,3rd_quantile,"(682.0, 2700.0]"
538,Lichtenberg,14646,Chondrite,H6,4000.0,1973.0,-26.15,26.18333,South Africa,Africa,4th_quantile,"(2700.0, 10322.0]"
539,Lillaverke,14650,Chondrite,H5,6862.0,1930.0,56.65,15.86667,Sweden,Europe,4th_quantile,"(2700.0, 10322.0]"
541,Linum,14655,Chondrite,L6,1862.0,1854.0,52.75,12.9,Germany,Europe,3rd_quantile,"(682.0, 2700.0]"
542,Lishui,14659,Chondrite,L5,498.0,1978.0,31.63333,118.98333,China,Asia,2nd_quantile,"(22.0, 682.0]"
544,Little Piney,14664,Chondrite,L5,491.0,1839.0,37.91667,-92.08333,United States,North America,2nd_quantile,"(22.0, 682.0]"
546,Lodran,14675,Primitive Achondrite,Lodranite,1000.0,1868.0,29.53333,71.8,Pakistan,Asia,3rd_quantile,"(682.0, 2700.0]"
547,Lohawat,14678,Achondrite,Howardite,40000.0,1994.0,26.96556,72.62667,India,Asia,5th_quantile,"(10322.0, 224800.0]"
548,Lorton,52843,Chondrite,L6,329.7,2010.0,38.70066,-77.21163,United States,North America,2nd_quantile,"(22.0, 682.0]"
549,Los Martinez,14708,Chondrite,L6,25.0,1894.0,38.0,-0.83333,Spain,Europe,2nd_quantile,"(22.0, 682.0]"
550,Lost City,14711,Chondrite,H5,17000.0,1970.0,36.00833,-95.15,United States,North America,5th_quantile,"(10322.0, 224800.0]"
551,Louisville,14716,Chondrite,L6,1300.0,1977.0,38.25,-85.75,United States,North America,3rd_quantile,"(682.0, 2700.0]"
552,Łowicz,14718,Achondrite,Mesosiderite-A3,59000.0,1935.0,52.0,19.91667,Poland,Europe,5th_quantile,"(10322.0, 224800.0]"
553,Lua,14721,Chondrite,L5,9241.0,1926.0,24.95,75.15,India,Asia,4th_quantile,"(2700.0, 10322.0]"
555,Lumpkin,14753,Chondrite,L6,340.0,1869.0,32.03333,-84.76667,United States,North America,2nd_quantile,"(22.0, 682.0]"
556,Lunan,14754,Chondrite,H6,2520.0,1980.0,24.8,103.3,China,Asia,3rd_quantile,"(682.0, 2700.0]"
557,Lundsgård,14755,Chondrite,L6,11000.0,1889.0,56.21667,13.03333,Sweden,Europe,5th_quantile,"(10322.0, 224800.0]"
561,Mabwe-Khoywa,14764,Chondrite,L5,540.0,1937.0,19.0,97.0,Myanmar,Asia,2nd_quantile,"(22.0, 682.0]"
562,Macau,15370,Chondrite,H5,1500.0,1836.0,-5.2,-36.66667,Brazil,South America,3rd_quantile,"(682.0, 2700.0]"
563,Machinga,15371,Chondrite,L6,93200.0,1981.0,-15.21222,35.24222,Malawi,Africa,5th_quantile,"(10322.0, 224800.0]"
564,Macibini,15372,Achondrite,Eucrite-pmict,1995.0,1936.0,-28.83333,31.95,South Africa,Africa,3rd_quantile,"(682.0, 2700.0]"
565,Madhipura,15379,Chondrite,L,1000.0,1950.0,25.91667,86.36667,India,Asia,3rd_quantile,"(682.0, 2700.0]"
566,Madiun,15380,Chondrite,L6,400.0,1935.0,-7.75,111.53333,Indonesia,Asia,2nd_quantile,"(22.0, 682.0]"
567,Madrid,15382,Chondrite,L6,400.0,1896.0,40.41667,-3.71667,Spain,Europe,2nd_quantile,"(22.0, 682.0]"
568,Mafra,15383,Chondrite,L3-4,600.0,1941.0,-26.16667,-49.93333,Brazil,South America,2nd_quantile,"(22.0, 682.0]"
569,Magnesia,15386,Primitive Achondrite,"Iron, IAB-sHL",5000.0,1899.0,37.86667,27.51667,Turkey,Asia,4th_quantile,"(2700.0, 10322.0]"
570,Magombedze,15387,Chondrite,H3-5,666.6,1990.0,-19.48333,31.65,Zimbabwe,Africa,2nd_quantile,"(22.0, 682.0]"
571,Mahadevpur,47361,Chondrite,H4/5,70500.0,2007.0,27.66667,95.78333,India,Asia,5th_quantile,"(10322.0, 224800.0]"
572,Maigatari-Danduma,30751,Chondrite,H5/6,4629.0,2004.0,12.83333,9.38333,Niger,Africa,4th_quantile,"(2700.0, 10322.0]"
573,Malaga,15393,Chondrite,OC,150.0,1933.0,32.21667,-104.0,United States,North America,2nd_quantile,"(22.0, 682.0]"
574,Malakal,15394,Chondrite,L5,2000.0,1970.0,9.5,31.75,South Sudan,Africa,3rd_quantile,"(682.0, 2700.0]"
575,Malampaka,15395,Chondrite,H,470.0,1930.0,-3.13333,33.51667,"Tanzania, United Republic of",Africa,2nd_quantile,"(22.0, 682.0]"
577,Malvern,15400,Achondrite,Eucrite-pmict,807.0,1933.0,-29.45,26.76667,South Africa,Africa,3rd_quantile,"(682.0, 2700.0]"
578,Mamra Springs,15401,Chondrite,L6,1000.0,1927.0,45.21667,62.08333,Kazakhstan,Asia,3rd_quantile,"(682.0, 2700.0]"
579,Manbhoom,15402,Chondrite,LL6,1700.0,1863.0,23.05,86.7,India,Asia,3rd_quantile,"(682.0, 2700.0]"
580,Manegaon,15403,Achondrite,Diogenite,50.0,1843.0,20.96667,76.1,India,Asia,2nd_quantile,"(22.0, 682.0]"
581,Mangwendi,15405,Chondrite,LL6,22300.0,1934.0,-17.65,31.6,Zimbabwe,Africa,5th_quantile,"(10322.0, 224800.0]"
582,Manych,15409,Chondrite,LL3.4,3555.0,1951.0,45.81667,44.63333,Russian Federation,Europe,4th_quantile,"(2700.0, 10322.0]"
583,Mardan,15414,Chondrite,H5,4500.0,1948.0,34.23333,72.08333,Pakistan,Asia,4th_quantile,"(2700.0, 10322.0]"
584,Maria Linden,15418,Chondrite,L4,114.0,1925.0,-30.25,28.483333,South Africa,Africa,2nd_quantile,"(22.0, 682.0]"
585,Mariaville,15419,Unclassified,Iron,340.0,1898.0,42.71667,-99.38333,United States,North America,2nd_quantile,"(22.0, 682.0]"
586,Maribo,48973,Chondrite,CM2,25.81,2009.0,54.76183,11.46745,Denmark,Europe,2nd_quantile,"(22.0, 682.0]"
587,Maridi,15421,Chondrite,H6,3200.0,1941.0,4.66667,29.25,South Sudan,Africa,4th_quantile,"(2700.0, 10322.0]"
588,Marilia,15422,Chondrite,H4,2500.0,1971.0,-22.25,-49.93333,Brazil,South America,3rd_quantile,"(682.0, 2700.0]"
589,Marion (Iowa),15424,Chondrite,L6,28400.0,1847.0,41.9,-91.6,United States,North America,5th_quantile,"(10322.0, 224800.0]"
590,Marjalahti,15426,Achondrite,"Pallasite, PMG",45000.0,1902.0,61.5,30.5,Russian Federation,Europe,5th_quantile,"(10322.0, 224800.0]"
591,Marmande,15429,Chondrite,L5,3000.0,1848.0,44.5,0.15,France,Europe,4th_quantile,"(2700.0, 10322.0]"
592,Maromandia,15430,Chondrite,L6,6000.0,2002.0,-14.2,48.1,Madagascar,Africa,4th_quantile,"(2700.0, 10322.0]"
593,Maryville,15436,Chondrite,L6,1443.0,1983.0,35.8,-84.1,United States,North America,3rd_quantile,"(682.0, 2700.0]"
594,Mascombes,15438,Chondrite,L6,1000.0,1836.0,45.36667,1.86667,France,Europe,3rd_quantile,"(682.0, 2700.0]"
595,Mason Gully,53653,Chondrite,H5,24.54,2010.0,-30.453609466,127.647201538,Australia,Oceania,2nd_quantile,"(22.0, 682.0]"
599,Mayo Belwa,15451,Achondrite,Aubrite,4850.0,1974.0,8.96667,12.08333,Nigeria,Africa,4th_quantile,"(2700.0, 10322.0]"
600,Mazapil,15453,Primitive Achondrite,"Iron, IAB-sLL",4000.0,1885.0,24.68333,-101.68333,Mexico,North America,4th_quantile,"(2700.0, 10322.0]"
601,Maziba,15454,Chondrite,L6,4975.0,1942.0,-1.21667,30.0,Uganda,Africa,4th_quantile,"(2700.0, 10322.0]"
602,Mbale,15455,Chondrite,L5/6,150000.0,1992.0,1.06667,34.16667,Uganda,Africa,5th_quantile,"(10322.0, 224800.0]"
603,Medanitos,15467,Achondrite,Eucrite-cm,31.0,1953.0,-27.25,-67.5,Argentina,South America,2nd_quantile,"(22.0, 682.0]"
604,Meerut,15469,Chondrite,H5,22.0,1861.0,29.01667,77.8,India,Asia,1st_quantile,"(0.099, 22.0]"
605,Meester-Cornelis,15470,Chondrite,H5,24750.0,1915.0,-6.23333,106.88333,Indonesia,Asia,5th_quantile,"(10322.0, 224800.0]"
606,Menow,15485,Chondrite,H4,10500.0,1862.0,53.18333,13.15,Germany,Europe,5th_quantile,"(10322.0, 224800.0]"
607,Menziswyl,15486,Chondrite,L5,28.9,1903.0,46.81867,7.21817,Switzerland,Europe,2nd_quantile,"(22.0, 682.0]"
608,Mern,15489,Chondrite,L6,4000.0,1878.0,55.05,12.06667,Denmark,Europe,4th_quantile,"(2700.0, 10322.0]"
609,Meru,15491,Chondrite,LL6,6000.0,1945.0,0.0,37.66667,Kenya,Africa,4th_quantile,"(2700.0, 10322.0]"
610,Merua,15492,Chondrite,H5,71400.0,1920.0,25.48333,81.98333,India,Asia,5th_quantile,"(10322.0, 224800.0]"
611,Messina,15495,Chondrite,L5,2405.0,1955.0,38.18333,15.56667,Italy,Europe,3rd_quantile,"(682.0, 2700.0]"
612,Meuselbach,16626,Chondrite,L6,870.0,1897.0,50.58333,11.1,Germany,Europe,3rd_quantile,"(682.0, 2700.0]"
613,Mezel,16627,Chondrite,L6,1300.0,1949.0,45.76667,3.25,France,Europe,3rd_quantile,"(682.0, 2700.0]"
614,Mezö-Madaras,16628,Chondrite,L3.7,22700.0,1852.0,46.5,25.73333,Romania,Europe,5th_quantile,"(10322.0, 224800.0]"
616,Mianchi,16631,Chondrite,H5,1100.0,1980.0,34.8,111.7,China,Asia,3rd_quantile,"(682.0, 2700.0]"
617,Middlesbrough,16632,Chondrite,L6,1600.0,1881.0,54.56667,-1.16667,United Kingdom,Europe,3rd_quantile,"(682.0, 2700.0]"
618,Mifflin,52090,Chondrite,L5,3584.0,2010.0,42.9075,-90.36556,United States,North America,4th_quantile,"(2700.0, 10322.0]"
619,Mighei,16634,Chondrite,CM2,8000.0,1889.0,48.06667,30.96667,Ukraine,Europe,4th_quantile,"(2700.0, 10322.0]"
620,Mihonoseki,16635,Chondrite,L6,6380.0,1992.0,35.56833,133.22,Japan,Asia,4th_quantile,"(2700.0, 10322.0]"
621,Mike,16636,Chondrite,L6,224.2,1944.0,46.23333,17.53333,Hungary,Europe,2nd_quantile,"(22.0, 682.0]"
622,Milena,16640,Chondrite,L6,10000.0,1842.0,46.18333,16.1,Croatia,Europe,4th_quantile,"(2700.0, 10322.0]"
623,Millbillillie,16643,Achondrite,Eucrite-mmict,330000.0,1960.0,-26.45,120.36667,Australia,Oceania,6th_quantile,"(224800.0, 23000000.0]"
624,Miller (Arkansas),16645,Chondrite,H5,16700.0,1930.0,35.4,-92.05,United States,North America,5th_quantile,"(10322.0, 224800.0]"
627,Min-Fan-Zhun,16697,Chondrite,LL6,5500.0,1952.0,32.33333,120.66667,China,Asia,4th_quantile,"(2700.0, 10322.0]"
628,Minnichhof,16700,Chondrite,OC,550.0,1905.0,47.7,16.6,Hungary,Europe,2nd_quantile,"(22.0, 682.0]"
629,Mirzapur,16701,Chondrite,L5,8510.0,1910.0,25.68333,83.25,India,Asia,4th_quantile,"(2700.0, 10322.0]"
630,Misshof,16703,Chondrite,H5,5800.0,1890.0,56.66667,23.0,Latvia,Europe,4th_quantile,"(2700.0, 10322.0]"
631,Mjelleim,16707,Chondrite,H,100.7,1898.0,61.73333,5.93333,Norway,Europe,2nd_quantile,"(22.0, 682.0]"
632,Mocs,16709,Chondrite,L5-6,300000.0,1882.0,46.8,24.03333,Romania,Europe,6th_quantile,"(224800.0, 23000000.0]"
633,Modoc (1905),16711,Chondrite,L6,35000.0,1905.0,38.5,-101.1,United States,North America,5th_quantile,"(10322.0, 224800.0]"
634,Mokoia,16713,Chondrite,CV3,4500.0,1908.0,-39.63333,174.4,New Zealand,Oceania,4th_quantile,"(2700.0, 10322.0]"
635,Molina,16715,Chondrite,H5,144000.0,1858.0,38.11667,-1.16667,Spain,Europe,5th_quantile,"(10322.0, 224800.0]"
636,Molteno,16717,Achondrite,Howardite,150.0,1953.0,-31.25,26.46667,South Africa,Africa,2nd_quantile,"(22.0, 682.0]"
637,Monahans (1998),16719,Chondrite,H5,2587.0,1998.0,31.60833,-102.85833,United States,North America,3rd_quantile,"(682.0, 2700.0]"
638,Monroe,16720,Chondrite,H4,8600.0,1849.0,35.25,-80.5,United States,North America,4th_quantile,"(2700.0, 10322.0]"
639,Monte das Fortes,16725,Chondrite,L5,4885.0,1950.0,38.01667,-8.25,Portugal,Europe,4th_quantile,"(2700.0, 10322.0]"
640,Monte Milone,16726,Chondrite,L5,3130.0,1846.0,43.26667,13.35,Italy,Europe,4th_quantile,"(2700.0, 10322.0]"
641,Montferré,16727,Chondrite,H5,149000.0,1923.0,43.39056,1.9625,France,Europe,5th_quantile,"(10322.0, 224800.0]"
642,Montlivault,16729,Chondrite,L6,500.0,1838.0,47.63333,1.58333,France,Europe,2nd_quantile,"(22.0, 682.0]"
644,Moore County,16736,Achondrite,Eucrite-cm,1880.0,1913.0,35.41667,-79.38333,United States,North America,3rd_quantile,"(682.0, 2700.0]"
646,Moorleah,16738,Chondrite,L6,8887.5,1930.0,-40.975,145.6,Australia,Oceania,4th_quantile,"(2700.0, 10322.0]"
648,Morávka,16742,Chondrite,H5,633.0,2000.0,49.6,18.53333,Czechia,Europe,2nd_quantile,"(22.0, 682.0]"
649,Mornans,16747,Chondrite,H5,1300.0,1875.0,44.6,5.13333,France,Europe,3rd_quantile,"(682.0, 2700.0]"
650,Moss,36592,Chondrite,CO3.6,3763.0,2006.0,59.43333,10.7,Norway,Europe,4th_quantile,"(2700.0, 10322.0]"
651,Moti-ka-nagla,16759,Chondrite,H6,1500.0,1868.0,26.83333,77.33333,India,Asia,3rd_quantile,"(682.0, 2700.0]"
652,Motta di Conti,16762,Chondrite,H4,9150.0,1868.0,45.2,8.5,Italy,Europe,4th_quantile,"(2700.0, 10322.0]"
653,Mount Browne,16766,Chondrite,H6,11300.0,1902.0,-29.8,141.7,Australia,Oceania,5th_quantile,"(10322.0, 224800.0]"
654,Mount Tazerzait,16804,Chondrite,L5,110000.0,1991.0,18.7,4.8,Niger,Africa,5th_quantile,"(10322.0, 224800.0]"
656,Mtola,16820,Unclassified,Stone-uncl,1100.0,1944.0,-11.5,33.5,Malawi,Africa,3rd_quantile,"(682.0, 2700.0]"
657,Muddoor,16841,Chondrite,L5,4400.0,1865.0,12.63333,77.01667,India,Asia,4th_quantile,"(2700.0, 10322.0]"
659,Muraid,16874,Chondrite,L6,4703.0,1924.0,24.5,90.21667,Bangladesh,Asia,4th_quantile,"(2700.0, 10322.0]"
660,Murchison,16875,Chondrite,CM2,100000.0,1969.0,-36.61667,145.2,Australia,Oceania,5th_quantile,"(10322.0, 224800.0]"
661,Murray,16882,Chondrite,CM2,12600.0,1950.0,36.6,-88.1,United States,North America,5th_quantile,"(10322.0, 224800.0]"
662,Muzaffarpur,16885,Primitive Achondrite,"Iron, IAB-sHL",1245.0,1964.0,26.13333,85.53333,India,Asia,3rd_quantile,"(682.0, 2700.0]"
664,Nadiabondi,16889,Chondrite,H5,8165.0,1956.0,12.0,1.0,Burkina Faso,Africa,4th_quantile,"(2700.0, 10322.0]"
665,Nagai,16890,Chondrite,L6,1810.0,1922.0,38.12167,140.06167,Japan,Asia,3rd_quantile,"(682.0, 2700.0]"
666,Nagaria,16892,Achondrite,Eucrite-cm,20.0,1875.0,26.98333,78.21667,India,Asia,1st_quantile,"(0.099, 22.0]"
